accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
6.528619841346472788e-03,2.135673902559395970e-03,-9.792776705482838295e+00
-5.722508431381838519e-03,2.602408037062725783e-03,-9.793292691352021961e+00
-9.268885973723904603e-03,9.901494981733651238e-03,-9.788960997215635729e+00
2.829515646476953462e-03,-7.568244115980647842e-03,-9.800290662513106099e+00
5.406644232647422920e-05,-3.587894130046188229e-04,-9.798147405154091771e+00
1.001462993781297370e-02,-5.802276786204990308e-03,-9.801185792687538978e+00
1.021653429905955944e-02,-5.842673873776072814e-03,-9.797527520033458615e+00
3.354118134843625098e-03,-8.895433315203553478e-04,-9.796698821270361179e+00
-1.317956190786493710e-03,4.511558745467368972e-03,-9.797113029939827911e+00
-2.045780526823370599e-03,-2.667276026643619711e-03,-9.800690676925983169e+00
-9.064545630427868136e-03,2.460170850731233094e-03,-9.804986791145799074e+00
-2.295798471135368935e-03,4.441530675889112864e-03,-9.788589457786899928e+00
2.831249926940230394e-03,-6.746282186880225851e-03,-9.797532965858154697e+00
-2.313814151456539993e-03,2.356039908511402270e-03,-9.791055568602052617e+00
-1.538217562272779912e-03,-1.302578738297452453e-03,-9.790413384511227335e+00
6.842331030179919435e-03,-1.770905347608263923e-03,-9.794044139906789681e+00
-7.188412334837541301e-03,1.877333726859153288e-03,-9.790266700187908455e+00
-3.589650585160704833e-03,1.607386018086660569e-04,-9.798205313272669414e+00
2.808038181552420780e-03,1.493388939352761381e-03,-9.794738837038215351e+00
5.638106964629998642e-03,7.322326332713917710e-03,-9.789342252906781283e+00
8.616835851403912422e-03,-2.907607799540369228e-03,-9.789320212289291945e+00
7.114952005444588265e-03,-6.802100495104091565e-03,-9.790611890718952992e+00
-4.889214963551901695e-03,-9.772796970208459406e-04,-9.802067130978366905e+00
3.768685613317585871e-03,-4.494861412223976477e-03,-9.797125689944277127e+00
2.166380637871621277e-03,-6.573290406201521933e-03,-9.788019465392920893e+00
5.760052673212960085e-03,-2.566231432249040795e-03,-9.794958347507010998e+00
-9.323061310152140190e-04,-3.225218027110361013e-03,-9.794022343205600833e+00
-3.183965947091839822e-03,-1.359665477033058893e-02,-9.803240422370482321e+00
-6.333949456134977188e-03,-3.207612057726771156e-03,-9.796381029089973325e+00
-3.799967830665226722e-03,-2.178422286786062950e-03,-9.803326979097638727e+00
-1.061421249511058191e-03,6.737709702467055591e-03,-9.793948113475792638e+00
2.096469749338078677e-03,2.615905995877429099e-03,-9.794121229784863658e+00
-3.268997636773094805e-03,6.258479244374968997e-03,-9.799637145497168689e+00
-6.398634674855119102e-03,-9.634011410083263838e-03,-9.799645092122982959e+00
1.224714593426131596e-03,-6.828037825277960028e-03,-9.793243055179477352e+00
-2.572769242254497636e-03,7.066132222478299814e-03,-9.789772115500474214e+00
