gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199645532441538620e+01,1.200039822502489812e+02,-1.067491328174921872e+00,7.057754126644436354e+00,-7.041249064199942787e+00,6.103917895009269845e-02
3.199649254528961606e+01,1.200039940976091231e+02,-5.600406454174541304e-01,7.096312178221415579e+00,-7.063487082946970474e+00,4.943035185968596562e-02
3.199652791934629192e+01,1.200039756541957132e+02,7.341693836111463867e+00,7.141220720024384683e+00,-7.085052453948071260e+00,-8.806570333162730413e-02
3.199644666656141467e+01,1.200041227030345254e+02,1.308302201262959841e+01,7.048367386724833317e+00,-7.079200743121370820e+00,-3.861967378612124469e-02
3.199658047845866093e+01,1.200039867793750261e+02,-1.008962114332448534e+00,7.042094584141790570e+00,-7.048429624775454094e+00,4.004607584535331902e-03
3.199651229629037985e+01,1.200039333257894043e+02,-1.331943562548297066e+01,7.056716991153153096e+00,-7.100172912518432078e+00,-9.410088556910157359e-03
3.199648300906479648e+01,1.200039614223246076e+02,8.341692628265942488e+00,6.980176588387949188e+00,-7.003462515883273731e+00,2.385449993996540188e-02
3.199653092729656478e+01,1.200040303469886709e+02,-5.727223929320887308e+00,7.032135023742011271e+00,-7.079932079947313994e+00,-1.635600796676528121e-02
3.199653965503099329e+01,1.200039997611303306e+02,6.654587989952956306e+00,7.091370704848616313e+00,-7.074621368674546495e+00,-1.117481924814626472e-02
3.199649689270972175e+01,1.200038637337168126e+02,-5.864252756990778082e+00,7.114976427175164986e+00,-7.153360189641325917e+00,1.045903435587216060e-02
3.199658259103293290e+01,1.200039116659803824e+02,-4.835323529470367809e-01,7.102325268722698759e+00,-7.062310169268967819e+00,3.102918251467956176e-02
3.199662500709689539e+01,1.200039557247697388e+02,7.706739643957921659e-01,7.121016382127501210e+00,-6.952956478197029888e+00,3.633094214484115098e-02
3.199655506491408374e+01,1.200039618097355856e+02,-4.461910652961888601e+00,7.286510589620514899e+00,-6.851877847964912505e+00,2.954719884933328100e-02
3.199647567345095212e+01,1.200038666420901592e+02,-4.142512113191520129e+00,7.382483861756114152e+00,-6.731472846684841471e+00,-2.846377775954312545e-02
3.199659666653238332e+01,1.200038527524171599e+02,-1.341787008849204987e+00,7.640791516596383559e+00,-6.432756923048418507e+00,-2.076633547977144167e-02
3.199664224996241657e+01,1.200038478641709645e+02,-5.827325462568182068e+00,7.713736655229167738e+00,-6.340101542702462289e+00,9.627974888662221798e-04
3.199661942083675470e+01,1.200038825925768435e+02,-1.108891019871385453e+01,7.890182822284587338e+00,-6.118364516321373792e+00,3.667683112252017458e-02
3.199663799829626143e+01,1.200039349749996944e+02,-3.543957251720612600e+00,8.125301668597838756e+00,-5.965488874567992816e+00,1.196951087474525943e-01
3.199661796513676748e+01,1.200038831708215383e+02,1.069905988549584963e+00,8.307843540066723875e+00,-5.587540052539650581e+00,1.221125069724681225e-02
3.199656899032262558e+01,1.200039628125270070e+02,-1.193547931105981119e+00,8.393348716347571070e+00,-5.398199782417386849e+00,-9.785939177859026561e-02
3.199666015346428694e+01,1.200038296904870094e+02,6.129954357764590078e+00,8.583907323098385334e+00,-5.197383011581318435e+00,-1.600238209819130480e-02
3.199669233297376891e+01,1.200037939025007603e+02,2.762618133382080288e+00,8.667276887879211245e+00,-4.979180852858404727e+00,1.071833370235340116e-02
3.199666651001511042e+01,1.200038409178921910e+02,-9.372792435616638329e+00,8.756536996265111839e+00,-4.720307507907070210e+00,-2.538286696477856652e-02
3.199664814512000532e+01,1.200037751441002030e+02,5.102945818452663040e+00,8.937980229512337615e+00,-4.585980578935360263e+00,9.599770925057614368e-03
3.199658712614769129e+01,1.200038751815889242e+02,3.983531393959234279e+00,9.030923828151518507e+00,-4.226622363848568931e+00,-2.549931907340985404e-02
