gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
8.783881026207503162e-02,-4.193281388725258324e-02,-3.496307983795610141e-02
5.858628391506464674e-03,5.692343225598702795e-03,1.763970410845712780e-02
-9.787994322556563265e-02,-5.017714239982785235e-02,-4.668490202406153089e-02
-4.098297538390542616e-02,-2.063018664335697708e-02,-4.725369063612650661e-02
-2.132768279905713788e-03,3.105430212142142737e-02,1.187148466568773222e-02
-3.645320206516454442e-02,4.627933050663804448e-02,1.670398699084337316e-02
-5.119620723472205481e-02,-2.509811421652504912e-02,1.834082715760045057e-02
2.320273219037456355e-02,4.167356622201734244e-03,3.653602856634690851e-03
1.922825187843103800e-02,-8.910077240458327830e-02,3.107531919412047025e-02
5.414497874935085553e-02,1.311072279148975568e-02,-5.406286402260093021e-02
-4.376678960527602413e-02,5.267783353986434797e-02,9.237020864930610420e-02
-1.028545912792875987e-02,-2.069756463322602533e-02,-2.224901905449630860e-02
-5.143662223766503477e-02,5.535719112446928908e-02,-2.288731280658351172e-02
3.230819225251305854e-02,5.031751881590109526e-02,3.642032022670638886e-02
5.526024233953357595e-03,1.028176494478943472e-02,-7.878027595703308850e-02
-2.423113009465125214e-02,5.802215561813518774e-02,-4.283295170834765069e-03
1.446786059343101692e-02,2.035173362819090587e-02,-5.970306620778428885e-02
-1.191467579631743171e-02,3.117350772621477542e-02,3.442352009059887474e-02
-1.261784631951488357e-02,5.226800871860952380e-02,-3.986122635430508487e-02
-2.079785145828578000e-02,3.460841764729315206e-02,3.083195134112404548e-02
1.200633980589919589e-02,4.098097601990737665e-02,2.589373686966973606e-02
3.231024476176543730e-02,4.345481565566802068e-02,7.592372048268758791e-03
-6.405601258321774044e-03,-4.637169000582262723e-02,8.588031636729691332e-02
5.265399736760322663e-02,7.100285560887281515e-03,5.065324350559367167e-02
-5.419328320001723202e-03,5.302527257843697717e-02,2.125633102801519070e-02
-3.651774996416352632e-03,-2.398185058515117998e-02,4.628697120398986981e-02
4.249375289026884051e-02,-1.046473565910193554e-02,-6.547852405520739050e-02
-2.617045134663811487e-02,2.383880002582407925e-02,-3.209215407461995379e-02
-1.564818694707375418e-02,-8.541757636605332160e-02,2.418872797372437558e-02
2.504184831352474633e-02,2.647558248046050916e-02,-1.042530784088155187e-02
-1.860798431231846769e-03,-4.158720664750283069e-02,-2.748360075175742406e-02
5.334144076412230401e-02,1.904819405870959020e-02,-1.938717566868923547e-02
3.455159952688122843e-02,1.183468263703768737e-02,-6.035768796087923743e-02
-3.188843738479642947e-02,-1.652163324438142566e-02,-3.074507689839169750e-02
4.143921013269764170e-02,-1.414518829303147186e-02,4.257136914891369861e-02
4.367008556477679215e-02,-6.667130409984049766e-02,-6.280881731380034971e-03
-4.936276033554304332e-02,-2.868575424422169576e-02,-1.863612516914539205e-02
9.856826355426456451e-03,-7.076963548651503053e-03,6.005264033018653524e-03
-8.418446359867267498e-03,5.316204787684073070e-03,-5.144883342355378170e-02
-2.461932630422091275e-02,-1.203996575914307310e-01,5.883225731771836442e-02
1.786050138677464007e-03,-8.501211907623493561e-03,-5.074191442924959328e-03
6.966278101230836441e-03,-8.843560796072516550e-02,-2.202978972308235889e-02
-2.842573787055265727e-02,-2.228034588828058452e-02,3.402938083814044390e-02
2.535365726725717639e-02,-1.648873082666294301e-02,-3.930631268904966752e-02
-1.467584447231471334e-03,2.919436214169772448e-02,-2.793858777217925193e-02
2.003655562002314497e-02,6.097940456891179362e-02,3.230136261032174466e-02
3.496775104793398842e-02,-1.592767223771906354e-02,-3.668927159657886516e-02
2.145351699544820190e-02,1.629167932849887729e-02,4.269554548465215316e-02
4.006036299507765956e-03,4.165755871081257278e-02,9.603633814622142273e-02
2.876861059169336446e-02,-2.339147661253314012e-02,-2.917768119775595095e-02
1.019273292833757470e-02,4.177049106691180930e-02,-1.363250019379667055e-01
-2.573133411422830544e-02,7.078116250547157595e-02,3.126094990399158613e-02
-6.972263612093593244e-02,1.174154496630604866e-01,-9.031237115816569128e-02
2.666183704579582620e-02,-1.975343635107204218e-02,1.513389428047080300e-02
1.137865099300341444e-02,5.501460388788265848e-02,-2.665696255793714286e-04
5.625947041634480478e-02,-4.385612729342976308e-04,1.663726129899071021e-03
-1.312994295724909458e-02,3.083208761009683871e-02,-2.847571840390599601e-02
-6.215749295749468939e-02,2.382080837719956559e-02,3.079630808248219262e-02
2.226252200886328150e-03,2.345573973681263150e-02,-2.134922586898169584e-04
7.232054574371331312e-02,-3.396323687341010200e-02,-8.156042356105769331e-02
-6.254493408946236108e-03,3.503927758177604896e-03,-1.923482481534678767e-02
2.130792453864085653e-02,4.189771756377914241e-02,3.834044393423440694e-02
4.274293125136109997e-03,-3.417837541894503534e-02,1.617409202514747887e-02
6.693990025620889794e-02,-1.720803569889393578e-02,1.776336952127461830e-02
-5.944589917349946823e-02,1.037850635606987759e-02,-9.868042056862492625e-03
6.961744460663696343e-02,4.330244701689648680e-03,-4.811089847760458699e-02
-1.143144045337461667e-03,-1.166719306213553735e-02,5.289100713897321171e-02
-2.735325441003317454e-02,5.274437889030345050e-02,5.932576534245456029e-02
-7.114366446353252715e-02,-3.142100236744751335e-02,3.839480886491353911e-02
1.775833512874506331e-02,-7.461446849803305033e-03,-2.851019098002463212e-02
-5.533325551665915082e-02,9.346386437010073892e-03,3.588945253347896464e-02
-8.158208947927551684e-04,-7.720698810725533379e-02,-9.131105921893283017e-02
4.077694629412411710e-03,4.396980502095668847e-02,2.487413895467755019e-03
-5.262437609339662078e-03,1.056639058590650750e-02,-2.891308274057380334e-02
-1.130812425944071470e-02,-1.448136003229671433e-02,-9.434082903911994444e-02
4.947187584245172666e-03,-1.425788480817084640e-02,3.781458815521809499e-03
-1.570387538163929911e-02,4.792631904705964979e-02,-6.825681552733642819e-03
1.688855645766944302e-02,-4.163759512441893296e-02,7.241982485282190407e-03
2.893005978974876741e-02,3.246508736054606881e-02,-3.548775964283510526e-02
-1.551662630011490206e-02,-2.376642700198033573e-02,2.659492290859483479e-02
-7.630314831824755450e-02,-4.279613610988664864e-03,-5.072881281518249255e-03
-4.297635156499832187e-02,1.852581474628276978e-02,-2.462870197748953660e-02
2.852364829280468195e-02,6.379028825604290964e-02,-3.363534717544393749e-03
4.494142368461441495e-02,1.610101000942476546e-02,-6.159418312678237306e-03
2.981587692915398189e-03,-6.242785982766159945e-04,3.313053516484597977e-02
5.172714420082822825e-03,8.170478935224960090e-04,-2.266795847454742760e-02
-1.581357064049277589e-02,2.649314180857591933e-02,2.612666811009808909e-02
-8.186140123427051996e-02,7.559993538108977611e-03,-3.235884570022336953e-02
-2.645673987880048025e-02,4.126461761216682761e-02,1.882027931336030871e-02
4.712173358112962951e-02,-7.386609352512928106e-02,1.294360752322695936e-02
-4.696678144300878849e-02,-2.615668814946760581e-02,4.559504319589940957e-02
9.099319624410592486e-03,-2.490374615559969376e-03,-3.746058895675235395e-02
1.469999873703801974e-02,5.175562106282236008e-02,-2.242473220941312156e-03
-2.840838279089039770e-02,3.804236778181290662e-02,-9.218024837931922425e-04
1.013921622216940321e-01,3.943517141778930812e-02,-1.529659628863700403e-02
4.794804614787115393e-02,-2.864482854429983155e-02,-2.036117267693183033e-02
1.261125305392138685e-01,8.757559791129397933e-03,1.361547901638936187e-02
-2.924794906511898537e-02,-1.827329186647132925e-02,2.223158715071662378e-02
-1.829397477118095000e-02,-8.214065491375943662e-02,-6.766649302005736666e-02
2.544131625679136449e-02,-2.139986907947413058e-02,2.183697215585575849e-02
2.499017404503299511e-02,2.959759084770638080e-02,1.519416264027101615e+00
2.766415849149154657e-02,1.400942485076277222e-02,2.863167844968549591e+00
4.476584827652716619e-02,7.465804003127771843e-03,4.080616301412389291e+00
4.077617294551534599e-02,-7.935593230452737956e-02,5.160242938344693719e+00
4.502362116266612861e-03,-1.878713855398721558e-02,6.088753324023265634e+00
-6.688887007918288552e-02,4.482090834391008749e-02,7.110378771598659497e+00
6.514637054058079399e-03,3.664446130904133909e-03,7.832998958200850126e+00
-5.478588054831846910e-02,-4.252546479245487843e-02,8.539402821740466720e+00
2.255067156942731910e-02,-3.388694240796694818e-02,9.198141962175236941e+00
3.875580087820451104e-04,2.078924200090367241e-02,9.803586794468442278e+00
-6.757174408392638276e-02,-7.172930580066808059e-02,1.026726059485724640e+01
-4.925804440461462042e-02,3.238717017598952141e-02,1.076158055322553864e+01
3.757605288260374571e-02,3.997642322032501222e-02,1.112009599391091363e+01
-1.978976675107517805e-02,7.898866333870595280e-02,1.159685725901338138e+01
2.272200006173186876e-02,-6.553624345970543962e-03,1.185706834926261521e+01
-3.496869085288620976e-02,-5.786139938995318865e-02,1.223104379489601534e+01
3.083305769678566441e-02,-3.011783094036144318e-02,1.247848864501272992e+01
-1.024719868413617035e-02,1.987627830428531292e-02,1.274434320060600179e+01
-6.250604329014071425e-02,9.322848139337321094e-02,1.289177481958608240e+01
2.235763125064544471e-02,-6.530413804630802455e-02,1.317913098282929418e+01
-9.963183105514608617e-02,-4.713900501497281237e-03,1.335869123605909614e+01
-5.002994081109424229e-02,7.390596824512053829e-04,1.357841585694494668e+01
-4.077669250844895982e-02,8.543425262657530772e-02,1.367471369143209969e+01
-2.922393459158940249e-02,6.346163061788828719e-02,1.379074611136956996e+01
-4.600396032961903692e-02,1.349955580124064837e-02,1.389359715883557556e+01
-6.057862475161465005e-02,-2.120073373221054418e-03,1.404835782327300109e+01
3.337072787915853350e-02,6.520720737694707392e-02,1.407891703916920356e+01
-2.311069411624181932e-02,-2.256998073771398355e-02,1.423468268118899083e+01
-6.231738934746668818e-02,2.684131183619362093e-02,1.421732745279309462e+01
-1.123972284702209716e-03,-3.957135818319627851e-02,1.432783609593527530e+01
1.722373904247503223e-02,-1.140971531207890174e-02,1.442721056672716173e+01
-1.362617796789455070e-02,7.974300378473743803e-03,1.449773930512281694e+01
-1.083895147388719109e-02,-4.582443769901523023e-02,1.449891980164500183e+01
5.557706625659603050e-03,-4.376953294192144871e-03,1.457576202837775270e+01
4.136063955879577120e-02,-6.846657071870633493e-02,1.459901238384340338e+01
4.908013413817208931e-02,1.872047397922197223e-02,1.466209611196588369e+01
3.907318582627511416e-02,1.525213892944109889e-02,1.470747050065336126e+01
-4.525694263038431558e-02,3.000053611759395666e-02,1.475744452963594533e+01
4.049140482352236309e-02,-5.309918190885408451e-02,1.476385418306985109e+01
-9.251715697960664724e-04,9.463497894379908210e-03,1.477140105109340240e+01
-6.150499299867408926e-02,-2.575534802284464367e-02,1.481094371810318933e+01
-4.816849615779757871e-02,-7.521167979177065255e-02,1.473081814477929719e+01
-2.411057484913325250e-02,2.765370155108638761e-02,1.480796077082809781e+01
-2.562261906109229020e-02,-7.397222751244264885e-03,1.484230586730931201e+01
-2.196343539065061592e-02,-9.299880448315275480e-03,1.484741124536698287e+01
-4.323840703433344534e-02,-1.799307114354305528e-02,1.493544883872241513e+01
5.150319668471013690e-02,6.715271364491551265e-02,1.484013879775725009e+01
1.010501874062486316e-01,-1.345379919448193816e-02,1.491025216255491337e+01
4.778552840424289683e-02,7.397272348369497708e-02,1.485237100223619500e+01
2.370843962351070269e-02,-7.824578455992117765e-02,1.490961930963051252e+01
-7.870513527154421665e-03,3.709997045625849053e-03,1.489676656506338226e+01
2.556038499887595614e-02,4.383034444291706438e-02,1.496488904957106492e+01
-1.923318970291639169e-03,2.309960482445904545e-02,1.492838844683860877e+01
8.499442765046208437e-02,3.990864955380885037e-02,1.486421781561845279e+01
1.967787617742374970e-02,8.664827134452181279e-02,1.486930561043985932e+01
4.723625959843107298e-03,5.821856708337805331e-02,1.492459944197909394e+01
-6.659822572859967760e-02,-3.764362626083270907e-02,1.495855696393691581e+01
1.192854976613159056e-02,9.624431721562333453e-03,1.497977443553578603e+01
9.995706087102158854e-02,-2.752439389566594188e-02,1.500629985395755028e+01
-2.110804634929987038e-03,-5.636388754096870179e-02,1.501474261842383484e+01
4.667504639277892525e-02,3.182723716821456855e-02,1.492773359706486502e+01
-2.676115173418274970e-02,7.115707713892627240e-02,1.494121329794535136e+01
1.588433515432761609e-02,4.463775536379815251e-03,1.497940583754631483e+01
1.385256325618271049e-02,9.692680833956343611e-03,1.500568890903536712e+01
7.626840856996930200e-03,3.680260749269205489e-02,1.497546031832471769e+01
-7.579636533652001074e-02,-4.145097631213800343e-02,1.491366696307895801e+01
8.291167527457447839e-02,-3.252034576906209784e-02,1.497966956456665955e+01
7.122186090327695812e-03,-2.931597425389752265e-02,1.502645810606902721e+01
5.350650705217152581e-02,-6.228454999973422057e-02,1.494840825487107594e+01
2.972744560663526797e-02,2.009259064275298323e-02,1.496297062757300900e+01
5.771583171423513847e-02,5.177659118365261423e-03,1.496477771964973158e+01
6.860184170603614295e-02,-1.326914004437463809e-02,1.497930144355397886e+01
-2.732135267089205906e-03,-1.946675861883111203e-02,1.501404572503377466e+01
7.580537716224695910e-02,3.133773296937265168e-02,1.494219835580063815e+01
-6.777874107842517259e-02,1.001431013810722831e-01,1.506604779785126347e+01
-4.601234005541438715e-02,6.025149955785826655e-02,1.495468784787920136e+01
2.082265768264196168e-02,1.207404260735981255e-01,1.504956960302055258e+01
-4.195263239503903979e-02,-2.341481798287768212e-03,1.494263837505341996e+01
-3.145918105982520308e-02,1.435686822676544329e-02,1.497707578997094480e+01
1.821056365324531454e-02,-2.042380235435320088e-02,1.500567147322141892e+01
3.707157604764711734e-02,-1.541670208299768426e-02,1.502845621994149283e+01
-3.056350697821132167e-02,2.906771520267646680e-02,1.499301626037835256e+01
1.164731920220925671e-01,-3.046351691444292020e-02,1.510683412070329545e+01
-7.001043166963761590e-03,1.967902645637799319e-02,1.504109924639531037e+01
-6.357845633632340510e-02,1.135364161099780694e-01,1.498865230160878248e+01
3.057461738635578949e-02,2.074064526906263875e-02,1.498755441518697396e+01
1.035119641758379394e-02,2.840310008277607823e-02,1.497115383085909635e+01
-4.931393583896575422e-02,-1.918802473528036581e-02,1.501605972126023403e+01
-7.447972859157385439e-02,1.370382285018983265e-02,1.500997944241398763e+01
2.315894304294510361e-02,9.829347834605572584e-03,1.498170222722845679e+01
2.375039936804285157e-02,-7.839151343096818769e-02,1.497154603728372457e+01
-3.226803051506949016e-02,-4.392308746049754936e-02,1.496405363909651598e+01
-4.262678046986476815e-02,-1.609504859287161707e-02,1.507304229601569645e+01
1.378150993678564640e-02,3.821219762947004883e-02,1.498234420635635367e+01
-5.968007719042621451e-03,-4.776224048493363933e-02,1.498924714014554915e+01
-4.680011715241892689e-02,-1.427099635477930770e-02,1.496442101973965322e+01
-6.994021769815399366e-03,-2.085985868474400304e-02,1.508056395493431090e+01
5.430705231371807384e-02,-1.289864572319270736e-02,1.495179938356839067e+01
1.440705326209798000e-02,2.154456951158142258e-02,1.499710122259380185e+01
-1.404064548367025579e-02,-2.106373734748245158e-02,1.499598464171499757e+01
6.001549419375318273e-02,-9.001077922765939737e-03,1.499855618471556262e+01
-1.164678216659912335e-01,-6.315169727244248146e-03,1.496981211146710855e+01
-5.095389518528876949e-02,2.194375259842122269e-02,1.492193197279993733e+01
2.072195287457090015e-02,3.435109317911611698e-02,1.503377131082105578e+01
-2.980655808649250449e-02,-4.564891731049530027e-02,1.505134528617406708e+01
9.974775503740452524e-05,-3.414623302551030026e-02,1.498452556266275160e+01
3.954126796006011968e-02,-1.885145779119627024e-02,1.501263506077435395e+01
9.151590423301353416e-02,-5.043899681404114682e-02,1.499879977660019215e+01
-6.114408839460038804e-03,-7.042093191603178426e-02,1.504898748656632002e+01
-4.313664034610775050e-02,3.009604749197886467e-02,1.495755595398241589e+01
4.162294217449491462e-02,-7.152004986116866636e-02,1.498887701656442673e+01
2.916644660857018595e-02,-3.999429416023100176e-02,1.498798416078564166e+01
2.301733857657769708e-02,3.485684634192887620e-03,1.498261085414849347e+01
-6.836716685417211503e-02,-7.377593237671263571e-02,1.499090836062415022e+01
-1.542528865193074994e-03,3.688145688770492342e-02,1.501399144599328039e+01
