mag_x (uT),mag_y (uT),mag_z (uT)
2.552416615555511115e+01,2.054606970758433349e+01,3.754221234654878714e+01
2.554489639242317267e+01,2.055509661480476424e+01,3.752326727559572106e+01
2.552807564522116124e+01,2.053737971500860837e+01,3.753370495603080315e+01
2.553914906838647170e+01,2.053375902666476094e+01,3.752107494605269267e+01
2.553102171259841668e+01,2.055691116473806090e+01,3.752116153091105843e+01
2.553402553274764486e+01,2.054689686872657717e+01,3.751304586001253227e+01
2.553806590548077793e+01,2.053014307245327430e+01,3.752282943103532631e+01
2.553174148516375297e+01,2.052792067165362511e+01,3.753747496434031916e+01
2.555242932712354431e+01,2.052170215863261760e+01,3.753066161979069193e+01
2.554443504739757032e+01,2.055123074369771885e+01,3.753357724886897984e+01
2.553026707851015686e+01,2.052491011122772591e+01,3.752017386959278156e+01
2.553511254944764275e+01,2.052110997653552005e+01,3.753625470122669583e+01
2.553893910497221853e+01,2.055733733244996486e+01,3.753272927245214419e+01
2.553749895330962261e+01,2.054773483939830570e+01,3.751591597631774277e+01
2.555206203085090166e+01,2.054282405041207582e+01,3.751439641891772681e+01
2.554100308840208555e+01,2.054033829758301621e+01,3.753741474924544974e+01
2.553459029001258074e+01,2.055135716672612389e+01,3.755521045164209681e+01
2.552202611392972642e+01,2.054031957810236975e+01,3.753125805160812689e+01
2.551917581237511001e+01,2.053105874785400431e+01,3.753634526354292689e+01
2.553686519065336213e+01,2.054109747930935725e+01,3.751635765862400973e+01
2.554280951118916576e+01,2.054131154864595388e+01,3.753181416425676531e+01
2.553376844033035908e+01,2.053656798727837085e+01,3.752545796509969733e+01
2.554141803153289558e+01,2.054856165831610326e+01,3.753758410894920416e+01
2.554071019502868012e+01,2.054513089126092495e+01,3.753952482277158254e+01
2.553587917590893852e+01,2.054318090090053062e+01,3.752811503121201753e+01
2.554487604048721749e+01,2.053490141029957883e+01,3.753297336811022689e+01
2.554261721766962268e+01,2.056018430516746776e+01,3.753158606672423048e+01
2.555631341482299845e+01,2.055024812527012656e+01,3.753829485847723646e+01
2.554988104042038444e+01,2.055924251431413552e+01,3.751892337479643658e+01
2.552420415255559405e+01,2.052870916736434737e+01,3.752398857666390342e+01
2.554084083593779653e+01,2.054805198598370097e+01,3.753428637289350434e+01
2.555486537581148809e+01,2.055327483565382352e+01,3.752244112165588064e+01
2.554156896055180681e+01,2.055239452536538280e+01,3.752040459548376106e+01
2.553688477609791718e+01,2.055085173039038082e+01,3.753766108488295572e+01
2.554720564290369822e+01,2.054331469351238226e+01,3.752394562538800216e+01
2.555602035730886001e+01,2.054740152576993495e+01,3.751703487876414300e+01
2.552347006257777906e+01,2.055438058998045747e+01,3.753206943577703925e+01
2.552400608570101781e+01,2.054286158885545532e+01,3.753230125225354641e+01
2.553938882687247514e+01,2.055881776874510081e+01,3.752696098747653508e+01
2.551511698382524784e+01,2.053473288159772991e+01,3.754129398237103032e+01
2.554111452917290492e+01,2.054616402896794725e+01,3.753052613318600095e+01
2.553767518063843411e+01,2.053701946348208551e+01,3.751785379717794910e+01
2.554336282000651437e+01,2.053386792285392204e+01,3.753685453871888456e+01
2.553663025549315790e+01,2.053750316326821235e+01,3.751201438095696972e+01
2.554110449878083955e+01,2.055367236778265294e+01,3.752182439197501651e+01
2.553689617110876497e+01,2.054918944615385001e+01,3.753220844155130465e+01
2.551631493467503020e+01,2.054889863523672489e+01,3.751726739183112613e+01
2.554809939184613299e+01,2.053864256669010402e+01,3.754271630594978149e+01
2.554035110164116062e+01,2.053182918605429919e+01,3.754612480844294709e+01
2.555927869137401132e+01,2.052128400428068034e+01,3.753381049411738246e+01
2.554050747081385353e+01,2.056152582716832811e+01,3.752901956400845762e+01
2.554248907259171020e+01,2.054884455652030439e+01,3.751636319234624040e+01
2.552821402333808010e+01,2.054572522974360993e+01,3.754260886034499833e+01
2.553347557219522912e+01,2.053659700000116217e+01,3.752509512913236733e+01
2.553662355534970274e+01,2.053441960239714348e+01,3.754206215574159700e+01
2.555473921447564223e+01,2.054328079656879424e+01,3.752864300307209788e+01
2.554324142555505617e+01,2.054773697425417822e+01,3.752976170328135908e+01
2.553935904075264318e+01,2.055309163271996908e+01,3.753077637408340195e+01
2.554575088891162693e+01,2.055416003085107590e+01,3.752860560678812618e+01
2.552536620311429516e+01,2.055060619667379740e+01,3.750475422405750692e+01
2.554035743998784014e+01,2.054839938389917009e+01,3.752460798820151666e+01
2.553902773051264319e+01,2.054969036835566953e+01,3.752416021925680667e+01
2.554122340801761482e+01,2.055094451699508440e+01,3.752052376782745569e+01
2.552541460134370510e+01,2.054890465400925592e+01,3.753390625800870595e+01
2.552579730635806854e+01,2.053308792204027000e+01,3.753140150528197694e+01
2.554207207362287946e+01,2.055354731282598379e+01,3.752854900586847009e+01
2.553590847295697941e+01,2.054466026441818727e+01,3.750815169788751291e+01
2.555170073182995694e+01,2.053623269788149130e+01,3.753733685713329038e+01
2.555826397757959612e+01,2.053069616331014302e+01,3.752494252336386182e+01
2.552652018811362566e+01,2.053398780148918945e+01,3.754989587723632383e+01
2.554066315553628641e+01,2.055057545510844363e+01,3.752225765077034225e+01
2.551973037358770213e+01,2.053089894547416705e+01,3.751836236191895324e+01
2.555032784533088019e+01,2.053786247102294737e+01,3.752837408614765735e+01
2.552467319127947931e+01,2.053321748337703667e+01,3.752875566105704053e+01
2.554850302711104959e+01,2.053383856993149692e+01,3.751986445582166141e+01
2.552849139637492470e+01,2.054206882384487187e+01,3.752562285922300589e+01
2.556564100574687259e+01,2.052934937170684648e+01,3.753129661740121037e+01
2.555064984882560708e+01,2.055045423428681062e+01,3.752162331773060799e+01
2.553907588536354467e+01,2.054312432106853947e+01,3.753813090080037540e+01
2.551990709294085491e+01,2.053977397592656473e+01,3.752722743901912139e+01
2.553334162899654558e+01,2.054103061444735090e+01,3.753461346900711959e+01
2.553382777600438303e+01,2.052808144744908248e+01,3.752704847822072765e+01
2.554990565411290504e+01,2.054324866982939568e+01,3.753381002711083170e+01
2.553702664227031605e+01,2.055445987222455173e+01,3.754352058887396737e+01
2.553150534319427578e+01,2.053194621831231004e+01,3.752697451307980003e+01
2.553772650653193210e+01,2.054500239818553453e+01,3.755103567651638485e+01
2.554726931940956192e+01,2.054224347485499180e+01,3.752995405102937099e+01
2.553435465421884487e+01,2.054659511846230657e+01,3.753180360771632706e+01
2.554603428067814264e+01,2.051940184698741376e+01,3.752093292399953128e+01
2.554863874932968315e+01,2.054561924948868779e+01,3.751033958110964051e+01
2.553641998542892111e+01,2.054526795001447681e+01,3.754178136440498292e+01
