ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-7.658507816907998656e-04,-9.795698020921706828e+00
0.000000000000000000e+00,-7.658507952854978242e-04,-9.795698021433350888e+00
0.000000000000000000e+00,-7.658508088801953490e-04,-9.795698021944998501e+00
0.000000000000000000e+00,-7.658508224748930907e-04,-9.795698022456646115e+00
0.000000000000000000e+00,-7.658508360695908323e-04,-9.795698022968293728e+00
0.000000000000000000e+00,-7.658508496642883571e-04,-9.795698023479941341e+00
0.000000000000000000e+00,-7.658508632589855567e-04,-9.795698023991588954e+00
0.000000000000000000e+00,-7.658508768536827563e-04,-9.795698024503236567e+00
0.000000000000000000e+00,-7.658508904483799559e-04,-9.795698025014885957e+00
0.000000000000000000e+00,-7.658509040430769386e-04,-9.795698025526533570e+00
0.000000000000000000e+00,-7.658509176377740297e-04,-9.795698026038177630e+00
0.000000000000000000e+00,-7.658509312324709040e-04,-9.795698026549827020e+00
0.000000000000000000e+00,-7.658509448271676699e-04,-9.795698027061474633e+00
0.000000000000000000e+00,-7.658509584218642190e-04,-9.795698027573122246e+00
0.000000000000000000e+00,-7.658509720165607680e-04,-9.795698028084768083e+00
0.000000000000000000e+00,-7.658509856112573171e-04,-9.795698028596415696e+00
0.000000000000000000e+00,-7.658509992059534324e-04,-9.795698029108063309e+00
0.000000000000000000e+00,-7.658510128006497646e-04,-9.795698029619710923e+00
0.000000000000000000e+00,-7.658510263953458800e-04,-9.795698030131360312e+00
0.000000000000000000e+00,-7.658510399900419954e-04,-9.795698030643007925e+00
0.000000000000000000e+00,-7.658510535847378939e-04,-9.795698031154655538e+00
0.000000000000000000e+00,-7.658510671794339008e-04,-9.795698031666299599e+00
0.000000000000000000e+00,-7.658510807741295825e-04,-9.795698032177948988e+00
0.000000000000000000e+00,-7.658510943688251558e-04,-9.795698032689596602e+00
0.000000000000000000e+00,-7.658511079635207290e-04,-9.795698033201244215e+00
0.000000000000000000e+00,-7.658511215582163023e-04,-9.795698033712893604e+00
0.000000000000000000e+00,-7.658511351529115503e-04,-9.795698034224539441e+00
0.000000000000000000e+00,-7.658511487476069067e-04,-9.795698034736188831e+00
0.000000000000000000e+00,-7.658511623423018295e-04,-9.795698035247836444e+00
0.000000000000000000e+00,-7.658511759369969691e-04,-9.795698035759484057e+00
0.000000000000000000e+00,-7.658511895316920002e-04,-9.795698036271131670e+00
0.000000000000000000e+00,-7.658512031263867061e-04,-9.795698036782777507e+00
0.000000000000000000e+00,-7.658512167210816289e-04,-9.795698037294428673e+00
0.000000000000000000e+00,-7.658512303157763348e-04,-9.795698037806074510e+00
0.000000000000000000e+00,-7.658512439104707154e-04,-9.795698038317720346e+00
0.000000000000000000e+00,-7.658512575051653129e-04,-9.795698038829367960e+00
0.000000000000000000e+00,-7.658512710998596935e-04,-9.795698039341015573e+00
0.000000000000000000e+00,-7.658512846945539658e-04,-9.795698039852663186e+00
0.000000000000000000e+00,-7.658512982892482380e-04,-9.795698040364312575e+00
0.000000000000000000e+00,-7.658513118839422934e-04,-9.795698040875958412e+00
0.000000000000000000e+00,-7.658513254786363487e-04,-9.795698041387607802e+00
0.000000000000000000e+00,-7.658513390733300789e-04,-9.795698041899255415e+00
0.000000000000000000e+00,-7.658513526680240258e-04,-9.795698042410901252e+00
0.000000000000000000e+00,-7.658513662627176475e-04,-9.795698042922550641e+00
0.000000000000000000e+00,-7.658513798574110524e-04,-9.795698043434196478e+00
0.000000000000000000e+00,-7.658513934521045657e-04,-9.795698043945845868e+00
0.000000000000000000e+00,-7.658514070467978621e-04,-9.795698044457493481e+00
0.000000000000000000e+00,-7.658514206414911586e-04,-9.795698044969139318e+00
0.000000000000000000e+00,-7.658514342361844550e-04,-9.795698045480790483e+00
0.000000000000000000e+00,-7.658514478308775346e-04,-9.795698045992436320e+00
0.000000000000000000e+00,-7.658514614255703973e-04,-9.795698046504085710e+00
0.000000000000000000e+00,-7.658514750202632601e-04,-9.795698047015733323e+00
0.000000000000000000e+00,-7.658514886149559060e-04,-9.795698047527380936e+00
0.000000000000000000e+00,-7.658515022096485519e-04,-9.795698048039028549e+00
0.000000000000000000e+00,-7.658515158043413063e-04,-9.795698048550674386e+00
0.000000000000000000e+00,-7.658515293990338438e-04,-9.795698049062323776e+00
0.000000000000000000e+00,-7.658515429937262729e-04,-9.795698049573969612e+00
0.000000000000000000e+00,-7.658515565884184851e-04,-9.795698050085615449e+00
0.000000000000000000e+00,-7.658515701831105889e-04,-9.795698050597266615e+00
0.000000000000000000e+00,-7.658515837778026927e-04,-9.795698051108912452e+00
0.000000000000000000e+00,-7.658515973724946881e-04,-9.795698051620561841e+00
0.000000000000000000e+00,-7.658516109671864667e-04,-9.795698052132209455e+00
0.000000000000000000e+00,-7.658516245618782452e-04,-9.795698052643858844e+00
0.000000000000000000e+00,-7.658516381565699154e-04,-9.795698053155504681e+00
0.000000000000000000e+00,-7.658516517512615855e-04,-9.795698053667152294e+00
0.000000000000000000e+00,-7.658516653459530388e-04,-9.795698054178801684e+00
0.000000000000000000e+00,-7.658516789406443837e-04,-9.795698054690447520e+00
0.000000000000000000e+00,-7.658516925353356201e-04,-9.795698055202098686e+00
0.000000000000000000e+00,-7.658517061300269650e-04,-9.795698055713744523e+00
0.000000000000000000e+00,-7.658517197247179846e-04,-9.795698056225390360e+00
0.000000000000000000e+00,-7.658517333194090042e-04,-9.795698056737039749e+00
0.000000000000000000e+00,-7.658517469140999154e-04,-9.795698057248687363e+00
0.000000000000000000e+00,-7.658517605087906098e-04,-9.795698057760336752e+00
0.000000000000000000e+00,-7.658517741034813042e-04,-9.795698058271984365e+00
0.000000000000000000e+00,-7.658517876981719985e-04,-9.795698058783631978e+00
0.000000000000000000e+00,-7.658518012928624760e-04,-9.795698059295277815e+00
0.000000000000000000e+00,-7.658518148875528451e-04,-9.795698059806927205e+00
0.000000000000000000e+00,-7.658518284822429974e-04,-9.795698060318574818e+00
0.000000000000000000e+00,-7.658518420769331496e-04,-9.795698060830220655e+00
0.000000000000000000e+00,-7.658518556716233019e-04,-9.795698061341871821e+00
0.000000000000000000e+00,-7.658518692663131289e-04,-9.795698061853517657e+00
0.000000000000000000e+00,-7.658518828610031727e-04,-9.795698062365167047e+00
0.000000000000000000e+00,-7.658518964556929997e-04,-9.795698062876814660e+00
0.000000000000000000e+00,-7.658519100503826098e-04,-9.795698063388460497e+00
0.000000000000000000e+00,-7.658519236450722200e-04,-9.795698063900109887e+00
0.000000000000000000e+00,-7.658519372397618302e-04,-9.795698064411757500e+00
0.000000000000000000e+00,-7.658519508344511150e-04,-9.795698064923406889e+00
0.000000000000000000e+00,-7.658519644291403999e-04,-9.795698065435054502e+00
0.000000000000000000e+00,-7.658519780238296848e-04,-9.795698065946703892e+00
0.000000000000000000e+00,-7.658519916185185360e-04,-9.795698066458351505e+00
0.000000000000000000e+00,-7.658520052132078209e-04,-9.795698066969995566e+00
0.000000000000000000e+00,-7.658520188078966721e-04,-9.795698067481648508e+00
0.000000000000000000e+00,-7.658520324025854149e-04,-9.795698067993292568e+00
0.000000000000000000e+00,-7.658520459972740493e-04,-9.795698068504940181e+00
0.000000000000000000e+00,-7.658520595919625753e-04,-9.795698069016587795e+00
0.000000000000000000e+00,-7.658520731866512096e-04,-9.795698069528237184e+00
0.000000000000000000e+00,-7.658520867813396272e-04,-9.795698070039884797e+00
0.000000000000000000e+00,-7.658521003760278278e-04,-9.795698070551534187e+00
0.000000000000000000e+00,-7.658521139707161370e-04,-9.795698071063181800e+00
0.000000000000000000e+00,-7.658521275654041208e-04,-9.795698071574829413e+00
0.000000000000000000e+00,2.610335356579892574e-01,-9.795698072086477026e+00
0.000000000000000000e+00,4.966529828517074474e-01,-9.795697843580754238e+00
0.000000000000000000e+00,7.087104835114630408e-01,-9.795697408794449501e+00
0.000000000000000000e+00,8.995622322883066735e-01,-9.795696788059823135e+00
0.000000000000000000e+00,1.071328804367387200e+00,-9.795695999575102064e+00
0.000000000000000000e+00,1.225918717414729242e+00,-9.795695059641776226e+00
0.000000000000000000e+00,1.365049637329296406e+00,-9.795693982873240557e+00
0.000000000000000000e+00,1.490267463419816751e+00,-9.795692782378617736e+00
0.000000000000000000e+00,1.602963505063899285e+00,-9.795691469924971528e+00
0.000000000000000000e+00,1.704389940701217521e+00,-9.795690056080761821e+00
0.000000000000000000e+00,1.795673730927363820e+00,-9.795688550342873668e+00
0.000000000000000000e+00,1.877829140278295172e+00,-9.795686961249359115e+00
0.000000000000000000e+00,1.951769006836337805e+00,-9.795685296479550885e+00
0.000000000000000000e+00,2.018314884875568538e+00,-9.795683562943164446e+00
0.000000000000000000e+00,2.078206173242665322e+00,-9.795681766859688722e+00
0.000000000000000000e+00,2.132108330899656234e+00,-9.795679913829149044e+00
0.000000000000000000e+00,2.180620270912397629e+00,-9.795678008895377431e+00
0.000000000000000000e+00,2.224281015040196152e+00,-9.795676056602461657e+00
0.000000000000000000e+00,2.263575682866470373e+00,-9.795674061045357206e+00
0.000000000000000000e+00,2.298940882016339504e+00,-9.795672025915123982e+00
0.000000000000000000e+00,2.330769559352460440e+00,-9.795669954539508950e+00
0.000000000000000000e+00,2.359415367051266088e+00,-9.795667849919341919e+00
0.000000000000000000e+00,2.385196592071594957e+00,-9.795665714761160103e+00
0.000000000000000000e+00,2.408399692676446602e+00,-9.795663551506553546e+00
0.000000000000000000e+00,2.429282481302562857e+00,-9.795661362358487168e+00
0.000000000000000000e+00,2.448076989143056270e+00,-9.795659149304974278e+00
0.000000000000000000e+00,2.464992044271765881e+00,-9.795656914140366212e+00
0.000000000000000000e+00,2.480215591955186927e+00,-9.795654658484503230e+00
0.000000000000000000e+00,2.493916782933203180e+00,-9.795652383799930973e+00
0.000000000000000000e+00,2.506247852871745341e+00,-9.795650091407429372e+00
0.000000000000000000e+00,2.517345813870183413e+00,-9.795647782499965928e+00
0.000000000000000000e+00,2.527333976817982553e+00,-9.795645458155272323e+00
0.000000000000000000e+00,2.536323321515694840e+00,-9.795643119347181127e+00
0.000000000000000000e+00,2.544413729783844502e+00,-9.795640766955829193e+00
0.000000000000000000e+00,2.551695095260928525e+00,-9.795638401776852078e+00
0.000000000000000000e+00,2.558248322221626125e+00,-9.795636024529690289e+00
0.000000000000000000e+00,2.564146224513170758e+00,-9.795633635865049982e+00
0.000000000000000000e+00,2.569454334598095357e+00,-9.795631236371642458e+00
0.000000000000000000e+00,2.574231631692706745e+00,-9.795628826582261084e+00
0.000000000000000000e+00,2.578531197091700644e+00,-9.795626406979268452e+00
0.000000000000000000e+00,2.582400803960327895e+00,-9.795623977999522225e+00
0.000000000000000000e+00,2.585883448147332953e+00,-9.795621540038842667e+00
0.000000000000000000e+00,2.589017825916605453e+00,-9.795619093456028992e+00
0.000000000000000000e+00,2.591838763905665921e+00,-9.795616638576476021e+00
0.000000000000000000e+00,2.594377606088305477e+00,-9.795614175695460446e+00
0.000000000000000000e+00,2.596662562040950029e+00,-9.795611705081073595e+00
0.000000000000000000e+00,2.598719020382402434e+00,-9.795609226976891293e+00
0.000000000000000000e+00,2.600569830869605248e+00,-9.795606741604375500e+00
0.000000000000000000e+00,2.602235558283822137e+00,-9.795604249165043242e+00
0.000000000000000000e+00,2.603734710928206741e+00,-9.795601749842401063e+00
0.000000000000000000e+00,2.605083946275615681e+00,-9.795599243803740919e+00
0.000000000000000000e+00,2.606298256051637452e+00,-9.795596731201692720e+00
0.000000000000000000e+00,2.607391132809313117e+00,-9.795594212175693372e+00
0.000000000000000000e+00,2.608374719846402900e+00,-9.795591686853263980e+00
0.000000000000000000e+00,2.609259946130900065e+00,-9.795589155351171584e+00
0.000000000000000000e+00,2.610056647734018576e+00,-9.795586617776505634e+00
0.000000000000000000e+00,2.610773677119865965e+00,-9.795584074227608795e+00
0.000000000000000000e+00,2.611419001506151805e+00,-9.795581524794943817e+00
0.000000000000000000e+00,2.611999791388832648e+00,-9.795578969561864469e+00
0.000000000000000000e+00,2.612522500214283561e+00,-9.795576408605313645e+00
0.000000000000000000e+00,2.612992936084260087e+00,-9.795573841996464637e+00
0.000000000000000000e+00,2.613416326290353808e+00,-9.795571269801273573e+00
0.000000000000000000e+00,2.613797375395011890e+00,-9.795568692080992790e+00
0.000000000000000000e+00,2.614140317504454636e+00,-9.795566108892654000e+00
0.000000000000000000e+00,2.614448963314293106e+00,-9.795563520289462645e+00
0.000000000000000000e+00,2.614726742450592223e+00,-9.795560926321185136e+00
0.000000000000000000e+00,2.614976741576828356e+00,-9.795558327034497026e+00
0.000000000000000000e+00,2.615201738690140054e+00,-9.795555722473272553e+00
0.000000000000000000e+00,2.615404233987970173e+00,-9.795553112678861751e+00
0.000000000000000000e+00,2.615586477648030872e+00,-9.795550497690362235e+00
0.000000000000000000e+00,2.615750494830280104e+00,-9.795547877544821702e+00
0.000000000000000000e+00,2.615898108178691395e+00,-9.795545252277452875e+00
0.000000000000000000e+00,2.616030958072856905e+00,-9.795542621921805804e+00
0.000000000000000000e+00,2.616150520854425565e+00,-9.795539986509950836e+00
0.000000000000000000e+00,2.616258125230894294e+00,-9.795537346072608287e+00
0.000000000000000000e+00,2.616354967039027368e+00,-9.795534700639295878e+00
0.000000000000000000e+00,2.616442122531926096e+00,-9.795532050238449528e+00
0.000000000000000000e+00,2.616520560337395995e+00,-9.795529394897519282e+00
0.000000000000000000e+00,2.616591152220477667e+00,-9.795526734643086542e+00
0.000000000000000000e+00,2.616654682769721685e+00,-9.795524069500942232e+00
0.000000000000000000e+00,2.616711858114839639e+00,-9.795521399496173842e+00
0.000000000000000000e+00,2.616763313772585420e+00,-9.795518724653229370e+00
0.000000000000000000e+00,2.616809621708052980e+00,-9.795516044995983052e+00
0.000000000000000000e+00,2.616851296689841178e+00,-9.795513360547804638e+00
0.000000000000000000e+00,2.616888802009705195e+00,-9.795510671331609132e+00
0.000000000000000000e+00,2.616922554630238373e+00,-9.795507977369894093e+00
0.000000000000000000e+00,2.616952929817791151e+00,-9.795505278684794703e+00
0.000000000000000000e+00,2.616980265312091269e+00,-9.795502575298117520e+00
0.000000000000000000e+00,2.617004865078910392e+00,-9.795499867231374225e+00
0.000000000000000000e+00,2.617027002687458026e+00,-9.795497154505820703e+00
0.000000000000000000e+00,2.617046924350037607e+00,-9.795494437142480137e+00
0.000000000000000000e+00,2.617064851657735947e+00,-9.795491715162166102e+00
0.000000000000000000e+00,2.617080984042549296e+00,-9.795488988585510981e+00
0.000000000000000000e+00,2.617095500993285917e+00,-9.795486257432985511e+00
0.000000000000000000e+00,2.617108564049889896e+00,-9.795483521724911213e+00
0.000000000000000000e+00,2.617120318598327167e+00,-9.795480781481495924e+00
0.000000000000000000e+00,2.617130895485977327e+00,-9.795478036722819581e+00
0.000000000000000000e+00,2.617140412475504441e+00,-9.795475287468883963e+00
0.000000000000000000e+00,2.617148975553317491e+00,-9.795472533739593146e+00
0.000000000000000000e+00,2.617156680107195932e+00,-9.795469775554776604e+00
0.000000000000000000e+00,2.617163611986164540e+00,-9.795467012934208739e+00
0.000000000000000000e+00,2.617169848454354852e+00,-9.795464245897605338e+00
0.000000000000000000e+00,2.617175459049501995e+00,-9.795461474464634222e+00
