ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.199650000000000460e+01,1.200040000000000049e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199650637683756571e+01,1.200039925171294897e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199651275367511971e+01,1.200039850342584629e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199651913051267016e+01,1.200039775513869102e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199652550735021350e+01,1.200039700685148318e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199653188418774974e+01,1.200039625856422560e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199653826102527887e+01,1.200039551027691545e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199654463786280445e+01,1.200039476198955271e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199655101470032292e+01,1.200039401370214023e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199655739153783429e+01,1.200039326541467375e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199656376837533855e+01,1.200039251712715611e+02,0.000000000000000000e+00,7.071067811865473729e+00,-7.071067811865477282e+00,0.000000000000000000e+00
3.199657016787920583e+01,1.200039177151570726e+02,0.000000000000000000e+00,7.147256035965131815e+00,-6.994049696446257514e+00,0.000000000000000000e+00
3.199657666929248023e+01,1.200039103816459090e+02,0.000000000000000000e+00,7.291374067412009552e+00,-6.843673297949840695e+00,0.000000000000000000e+00
3.199658331080708606e+01,1.200039032231950671e+02,0.000000000000000000e+00,7.455600791610143219e+00,-6.664384205321764121e+00,0.000000000000000000e+00
3.199659010251279767e+01,1.200038962615336828e+02,0.000000000000000000e+00,7.623290494011476071e+00,-6.471896325182770582e+00,0.000000000000000000e+00
3.199659704474547794e+01,1.200038895074337830e+02,0.000000000000000000e+00,7.788670204460079738e+00,-6.271890978497297375e+00,0.000000000000000000e+00
3.199660413444234663e+01,1.200038829676671241e+02,0.000000000000000000e+00,7.949700402473414584e+00,-6.066486916734761259e+00,0.000000000000000000e+00
3.199661136731891276e+01,1.200038766474804817e+02,0.000000000000000000e+00,8.105616846832795375e+00,-5.856532722724288043e+00,0.000000000000000000e+00
3.199661873861244032e+01,1.200038705514781014e+02,0.000000000000000000e+00,8.256091153076143385e+00,-5.642424910629989299e+00,0.000000000000000000e+00
3.199662624333662464e+01,1.200038646839350633e+02,0.000000000000000000e+00,8.400945275185662808e+00,-5.424400287896874673e+00,0.000000000000000000e+00
3.199663387637021472e+01,1.200038590489072448e+02,0.000000000000000000e+00,8.540054644863808164e+00,-5.202640354929418010e+00,0.000000000000000000e+00
3.199664163248936077e+01,1.200038536502688942e+02,0.000000000000000000e+00,8.673315400205732217e+00,-4.977308506467535310e+00,0.000000000000000000e+00
3.199664950638089067e+01,1.200038484917244261e+02,0.000000000000000000e+00,8.800633344216770126e+00,-4.748563229089402427e+00,0.000000000000000000e+00
3.199665749264927683e+01,1.200038435768107945e+02,0.000000000000000000e+00,8.921920257326283021e+00,-4.516562733087065240e+00,0.000000000000000000e+00
