ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.505739418564441236e-03,2.415557316867928631e-03,-2.174176229078440131e-03
2.505739401138882844e-03,2.415557299451445879e-03,-2.174176267534042983e-03
2.505739383713324452e-03,2.415557282034962259e-03,-2.174176305989644967e-03
2.505739366287765627e-03,2.415557264618478205e-03,-2.174176344445247384e-03
2.505739348862206367e-03,2.415557247201994152e-03,-2.174176382900850236e-03
2.505739331436646674e-03,2.415557229785510098e-03,-2.174176421356451352e-03
2.505739314011086981e-03,2.415557212369025611e-03,-2.174176459812052903e-03
2.505739296585526854e-03,2.415557194952540690e-03,-2.174176498267653152e-03
2.505739279159966294e-03,2.415557177536055335e-03,-2.174176536723254269e-03
2.505739261734406167e-03,2.415557160119570414e-03,-2.174176575178854952e-03
2.505739244308845173e-03,2.415557142703084626e-03,-2.174176613634455201e-03
2.505739226883283745e-03,2.415557125286598404e-03,-2.174176652090055017e-03
2.505739209457721883e-03,2.415557107870111749e-03,-2.174176690545654399e-03
2.505739192032160022e-03,2.415557090453625093e-03,-2.174176729001253781e-03
2.505739174606597293e-03,2.415557073037137570e-03,-2.174176767456853163e-03
2.505739157181034998e-03,2.415557055620650481e-03,-2.174176805912452111e-03
2.505739139755472269e-03,2.415557038204162957e-03,-2.174176844368049758e-03
2.505739122329908673e-03,2.415557020787674567e-03,-2.174176882823648273e-03
2.505739104904345510e-03,2.415557003371186610e-03,-2.174176921279245920e-03
2.505739087478781914e-03,2.415556985954697786e-03,-2.174176959734843567e-03
2.505739070053217884e-03,2.415556968538208962e-03,-2.174176998190440781e-03
2.505739052627653420e-03,2.415556951121719705e-03,-2.174177036646037994e-03
2.505739035202088523e-03,2.415556933705230013e-03,-2.174177075101634340e-03
2.505739017776523626e-03,2.415556916288740322e-03,-2.174177113557230687e-03
2.505739000350958295e-03,2.415556898872250197e-03,-2.174177152012826599e-03
2.505738982925392964e-03,2.415556881455760505e-03,-2.174177190468422512e-03
2.505738965499826765e-03,2.415556864039269513e-03,-2.174177228924017991e-03
2.505738948074260133e-03,2.415556846622778087e-03,-2.174177267379613469e-03
2.505738930648693935e-03,2.415556829206286660e-03,-2.174177305835207647e-03
2.505738913223126436e-03,2.415556811789794801e-03,-2.174177344290802692e-03
2.505738895797559804e-03,2.415556794373302941e-03,-2.174177382746397304e-03
2.505738878371992304e-03,2.415556776956810647e-03,-2.174177421201991048e-03
2.505738860946423938e-03,2.415556759540317486e-03,-2.174177459657585226e-03
2.505738843520855571e-03,2.415556742123825193e-03,-2.174177498113178102e-03
2.505738826095287638e-03,2.415556724707332032e-03,-2.174177536568771413e-03
2.505738808669718837e-03,2.415556707290838004e-03,-2.174177575024364723e-03
2.505738791244149603e-03,2.415556689874344409e-03,-2.174177613479957600e-03
2.505738773818580803e-03,2.415556672457850381e-03,-2.174177651935549609e-03
2.505738756393010701e-03,2.415556655041355485e-03,-2.174177690391142052e-03
2.505738738967441034e-03,2.415556637624861024e-03,-2.174177728846733628e-03
2.505738721541870932e-03,2.415556620208366128e-03,-2.174177767302325204e-03
2.505738704116300397e-03,2.415556602791871232e-03,-2.174177805757915912e-03
2.505738686690729428e-03,2.415556585375375036e-03,-2.174177844213507054e-03
2.505738669265157592e-03,2.415556567958878839e-03,-2.174177882669097762e-03
2.505738651839586623e-03,2.415556550542382643e-03,-2.174177921124687170e-03
2.505738634414014353e-03,2.415556533125885579e-03,-2.174177959580277878e-03
2.505738616988442517e-03,2.415556515709389382e-03,-2.174177998035867285e-03
2.505738599562870247e-03,2.415556498292891884e-03,-2.174178036491456259e-03
2.505738582137297110e-03,2.415556480876393953e-03,-2.174178074947045666e-03
2.505738564711724407e-03,2.415556463459896455e-03,-2.174178113402634640e-03
2.505738547286150402e-03,2.415556446043398090e-03,-2.174178151858223180e-03
2.505738529860577265e-03,2.415556428626899725e-03,-2.174178190313811286e-03
2.505738512435003260e-03,2.415556411210401360e-03,-2.174178228769398525e-03
2.505738495009428822e-03,2.415556393793902128e-03,-2.174178267224986631e-03
2.505738477583854384e-03,2.415556376377402895e-03,-2.174178305680574304e-03
2.505738460158279512e-03,2.415556358960902796e-03,-2.174178344136161976e-03
2.505738442732704206e-03,2.415556341544402262e-03,-2.174178382591748348e-03
2.505738425307128901e-03,2.415556324127902162e-03,-2.174178421047334719e-03
2.505738407881552728e-03,2.415556306711402063e-03,-2.174178459502920657e-03
2.505738390455976555e-03,2.415556289294900662e-03,-2.174178497958506161e-03
2.505738373030400382e-03,2.415556271878399695e-03,-2.174178536414092099e-03
2.505738355604824209e-03,2.415556254461898294e-03,-2.174178574869677603e-03
2.505738338179246301e-03,2.415556237045396459e-03,-2.174178613325262674e-03
2.505738320753668827e-03,2.415556219628893758e-03,-2.174178651780846877e-03
2.505738303328091353e-03,2.415556202212391489e-03,-2.174178690236431514e-03
2.505738285902513011e-03,2.415556184795888787e-03,-2.174178728692015717e-03
2.505738268476935537e-03,2.415556167379385652e-03,-2.174178767147599486e-03
2.505738251051356762e-03,2.415556149962882950e-03,-2.174178805603183256e-03
2.505738233625777554e-03,2.415556132546378947e-03,-2.174178844058766592e-03
2.505738216200198345e-03,2.415556115129874944e-03,-2.174178882514349494e-03
2.505738198774618702e-03,2.415556097713370074e-03,-2.174178920969932396e-03
2.505738181349039060e-03,2.415556080296865638e-03,-2.174178959425514864e-03
2.505738163923458984e-03,2.415556062880360334e-03,-2.174178997881096465e-03
2.505738146497878040e-03,2.415556045463855030e-03,-2.174179036336678500e-03
2.505738129072297531e-03,2.415556028047349726e-03,-2.174179074792260101e-03
2.505738111646716153e-03,2.415556010630843554e-03,-2.174179113247841268e-03
2.505738094221134776e-03,2.415555993214337383e-03,-2.174179151703422436e-03
2.505738076795553399e-03,2.415555975797830778e-03,-2.174179190159002302e-03
2.505738059369971588e-03,2.415555958381324173e-03,-2.174179228614582602e-03
2.505738041944388910e-03,2.415555940964817135e-03,-2.174179267070163336e-03
2.505738024518806666e-03,2.415555923548310530e-03,-2.174179305525742768e-03
2.505738007093223120e-03,2.415555906131801756e-03,-2.174179343981322201e-03
2.505737989667640442e-03,2.415555888715293850e-03,-2.174179382436901634e-03
2.505737972242056896e-03,2.415555871298785944e-03,-2.174179420892480199e-03
2.505737954816472483e-03,2.415555853882276737e-03,-2.174179459348058764e-03
2.505737937390888504e-03,2.415555836465767964e-03,-2.174179497803637763e-03
2.505737919965303657e-03,2.415555819049258757e-03,-2.174179536259215461e-03
2.505737902539719678e-03,2.415555801632749116e-03,-2.174179574714793159e-03
2.505737885114134398e-03,2.415555784216239042e-03,-2.174179613170370423e-03
2.505737867688549118e-03,2.415555766799729401e-03,-2.174179651625947254e-03
2.505737850262963404e-03,2.415555749383218893e-03,-2.174179690081524518e-03
2.505737832837376822e-03,2.415555731966707517e-03,-2.174179728537101348e-03
2.505737815411790675e-03,2.415555714550196575e-03,-2.174179766992677312e-03
2.505737797986204527e-03,2.415555697133685634e-03,-2.174179805448252841e-03
2.505737780560617078e-03,2.415555679717173391e-03,-2.174179843903828804e-03
2.505737763135030063e-03,2.415555662300661582e-03,-2.174179882359404334e-03
2.505737745709442181e-03,2.415555644884149339e-03,-2.174179920814979430e-03
2.505737728283854732e-03,2.415555627467636662e-03,-2.174179959270554525e-03
2.505737710858265983e-03,2.415555610051123119e-03,-2.174179997726128754e-03
2.505737693432677233e-03,2.415555592634609575e-03,-2.174180036181702982e-03
2.505737676007089351e-03,2.415555575218096464e-03,1.497825819925362234e+00
2.506393516320810748e-03,2.414899414415695202e-03,2.847825809505360795e+00
2.507639155152703928e-03,2.413652251631690816e-03,4.062825789734473503e+00
2.509414762934475320e-03,2.411872339296609272e-03,5.156325761534361618e+00
2.511666201314887142e-03,2.409611815772233056e-03,6.140475725729952039e+00
2.514344520900412602e-03,2.406917385252626412e-03,7.026210683060187812e+00
2.517405495146314478e-03,2.403830915534075231e-03,7.823372134187495774e+00
2.520809189646778040e-03,2.400389964616103308e-03,8.540817429706109465e+00
2.524519565569012438e-03,2.396628245486481009e-03,9.186518185149433080e+00
2.528504115640877077e-03,2.392576037086840968e-03,9.767648854496528088e+00
2.532733530893339392e-03,2.388260548311197783e-03,1.029066644632789362e+01
2.537181396245781310e-03,2.383706240922927200e-03,1.076138226836555489e+01
2.541823912979325733e-03,2.378935116457826879e-03,1.118502649755911982e+01
2.546639646151722253e-03,2.373966971487418212e-03,1.156630629316314796e+01
2.551609295052311831e-03,2.368819625027696139e-03,1.190945809850678749e+01
2.556715484866042051e-03,2.363509121377117307e-03,1.221829471258638122e+01
2.561942577802711705e-03,2.358049911239781631e-03,1.249624765449881103e+01
2.567276502045311853e-03,2.352455013623798961e-03,1.274640529143147738e+01
2.572704596974458892e-03,2.346736160690998576e-03,1.297154715385328139e+01
2.578215473231033807e-03,2.340903927464308126e-03,1.317417481918649003e+01
2.583798886283609000e-03,2.334967848066480615e-03,1.335653970711140737e+01
2.589445622268998163e-03,2.328936519962801748e-03,1.352066809534056446e+01
2.595147394972343799e-03,2.322817697506153120e-03,1.366838363381551247e+01
2.600896752906350657e-03,2.316618375931349307e-03,1.380132760748390020e+01
2.606686995537306657e-03,2.310344866813789783e-03,1.392097717279886027e+01
2.612512097787941800e-03,2.304002865892266182e-03,1.402866177056846553e+01
2.618366642024042880e-03,2.297597514054883043e-03,1.412557789752020021e+01
2.624245756802980837e-03,2.291133452198587921e-03,1.421280240070902678e+01
2.630145061728067935e-03,2.284614870594960621e-03,1.429130444248463583e+01
2.636060617813276632e-03,2.278045553326347224e-03,1.436195626896194000e+01
2.641988882818387032e-03,2.271428918295835889e-03,1.442554290164455466e+01
2.647926671065559991e-03,2.264768053261032206e-03,1.448277085988592283e+01
2.653871117294759763e-03,2.258065748294084320e-03,1.453427601110432121e+01
2.659819644157897494e-03,2.251324525028256841e-03,1.458063063597635711e+01
2.665769932990070309e-03,2.244546663013915512e-03,1.462234978711113875e+01
2.671719897531396777e-03,2.237734223473373824e-03,1.465989701185702643e+01
2.677667660304730492e-03,2.230889070714369479e-03,1.469368950282767727e+01
2.683611531383414944e-03,2.224012891435360462e-03,1.472410273337551878e+01
2.689549989309396837e-03,2.217107212132138523e-03,1.475147462951789201e+01
2.695481663945628516e-03,2.210173414794014846e-03,1.477610932467050553e+01
2.701405321068133490e-03,2.203212751058919450e-03,1.479828053890764572e+01
2.707319848522420427e-03,2.196226354979654519e-03,1.481823462029627692e+01
2.713224243786387536e-03,2.189215254538354367e-03,1.483619328209677768e+01
2.719117602797617873e-03,2.182180382032509070e-03,1.485235606624361182e+01
2.724999109917203895e-03,2.175122583443610952e-03,1.486690256047790903e+01
2.730868028915029236e-03,2.168042626888442431e-03,1.487999439376677735e+01
2.736723694873004990e-03,2.160941210243142764e-03,1.489177703218072857e+01
2.742565506913173957e-03,2.153818968021226597e-03,1.490238139518332616e+01
2.748392921666972452e-03,2.146676477578730608e-03,1.491192531029187585e+01
2.754205447410355313e-03,2.139514264712461498e-03,1.492051482227204318e+01
2.760002638797149840e-03,2.132332808710768295e-03,1.492824537141303232e+01
2.765784092129781532e-03,2.125132546910482676e-03,1.493520285397521974e+01
2.771549441112703110e-03,2.117913878808342851e-03,1.494146457659302918e+01
2.777298353039418539e-03,2.110677169770488072e-03,1.494710011523755000e+01
2.783030525368906504e-03,2.103422754379356916e-03,1.495217208828283439e+01
2.788745682651806636e-03,2.096150939453432765e-03,1.495673685226563698e+01
2.794443573770698241e-03,2.088862006771825212e-03,1.496084512806911526e+01
2.800123969462458944e-03,2.081556215532533258e-03,1.496454256448819997e+01
2.805786660093926785e-03,2.074233804570438898e-03,1.496787024543842115e+01
2.811431453665029674e-03,2.066894994358477178e-03,1.497086514644384359e+01
2.817058174016152505e-03,2.059539988813203180e-03,1.497356054547621262e+01
2.822666659218913549e-03,2.052168976923846120e-03,1.497598639271017973e+01
2.828256760131597769e-03,2.044782134222104548e-03,1.497816964330301914e+01
2.833828339102449287e-03,2.037379624108233596e-03,1.498013455689637041e+01
2.839381268805701852e-03,2.029961599047479855e-03,1.498190296716778569e+01
2.844915431196799131e-03,2.022528201649504385e-03,1.498349452442714735e+01
2.850430716574594951e-03,2.015079565642259509e-03,1.498492691395344956e+01
2.855927022739632518e-03,2.007615816750598064e-03,1.498621605249785027e+01
2.861404254238643710e-03,2.000137073488946187e-03,1.498737626513648813e+01
2.866862321686479941e-03,1.992643447876414880e-03,1.498842044443797583e+01
2.872301141157526487e-03,1.985135046081957979e-03,1.498936019371414474e+01
2.877720633639509196e-03,1.977611969006384460e-03,1.499020595594572747e+01
2.883120724543308897e-03,1.970074312807405890e-03,1.499096712981546276e+01
2.888501343263038569e-03,1.962522169373294868e-03,1.499165217413791140e+01
2.893862422781250197e-03,1.954955626750156522e-03,1.499226870184625326e+01
2.899203899314643958e-03,1.947374769527373877e-03,1.499282356458044418e+01
2.904525711996134608e-03,1.939779679185288938e-03,1.499332292881652151e+01
2.909827802589555392e-03,1.932170434408827684e-03,1.499377234438300377e+01
2.915110115233640609e-03,1.924547111370406146e-03,1.499417680612564574e+01
2.920372596212312665e-03,1.916909783985082643e-03,1.499454080940570933e+01
2.925615193748558329e-03,1.909258524140723711e-03,1.499486840004841781e+01
2.930837857819478150e-03,1.901593401905590222e-03,1.499516321929655227e+01
2.936040539990351049e-03,1.893914485715557199e-03,1.499542854426870520e+01
2.941223193265752548e-03,1.886221842542973749e-03,1.499566732437168959e+01
2.946385771955985396e-03,1.878515538048942946e-03,1.499588221407173094e+01
2.951528231557244003e-03,1.870795636720660321e-03,1.499607560238850823e+01
2.956650528644118835e-03,1.863062201995253171e-03,1.499624963943982969e+01
2.961752620773160961e-03,1.855315296371452295e-03,1.499640626033179380e+01
2.966834466396370534e-03,1.847554981510303104e-03,1.499654720665998120e+01
2.971896024783616044e-03,1.839781318325944565e-03,1.499667404586050701e+01
2.976937255953025947e-03,1.831994367067481862e-03,1.499678818862594909e+01
2.981958120608578944e-03,1.824194187392784352e-03,1.499689090457972007e+01
2.986958580084117087e-03,1.816380838435015460e-03,1.499698333638297854e+01
2.991938596293140275e-03,1.808554378862614652e-03,1.499706651243084998e+01
2.996898131683804929e-03,1.800714866933342088e-03,1.499714135827903405e+01
3.001837149198539195e-03,1.792862360543013515e-03,1.499720870692775421e+01
3.006755612237868754e-03,1.784996917269390934e-03,1.499726930807727499e+01
3.011653484627966650e-03,1.777118594411760321e-03,1.499732383645795508e+01
3.016530730591567185e-03,1.769227449026569352e-03,1.499737289932718376e+01
3.021387314721901262e-03,1.761323537959546236e-03,1.499741704321669111e+01
3.026223201959332698e-03,1.753406917874622550e-03,1.499745676000514294e+01
3.031038357570421844e-03,1.745477645279990518e-03,1.499749249238340987e+01
3.035832747129169756e-03,1.737535776551551482e-03,1.499752463877336517e+01
3.040606336500210026e-03,1.729581367954041151e-03,1.499755355775478982e+01
3.045359091823762222e-03,1.721614475660041953e-03,1.499757957204956504e+01
3.050090979502150922e-03,1.713635155767079168e-03,1.499760297210747595e+01
3.054801966187734204e-03,1.705643464313023319e-03,1.499762401933341138e+01
3.059492018772104992e-03,1.697639457289920476e-03,1.499764294899187256e+01
3.064161104376419541e-03,1.689623190656447784e-03,1.499765997282098517e+01
3.068809190342748541e-03,1.681594720349091372e-03,1.499767528138515793e+01
3.073436244226338942e-03,1.673554102292200592e-03,1.499768904619244481e+01
