ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
2.553885616683961146e+01,2.054245378190469040e+01,3.753065687399474371e+01
