gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200005001181341413e+01,1.199999407282815866e+02,-8.770760813509005160e+00,-3.006835508131243395e-02,2.756213057138021810e-02,3.793917716973113641e-02
3.199997077127579814e+01,1.200000889486579183e+02,4.392603374358674984e+00,-6.624631731329909574e-03,4.061171282093170576e-02,-3.739851680645103760e-02
3.200000366654301587e+01,1.200000844251729291e+02,-1.315417242930061903e+01,-3.421136067435852010e-03,1.056928087685871272e-02,-7.088578783441339473e-03
3.199999692980816945e+01,1.199999707314421329e+02,-1.655537704985947656e+00,-4.522281628777296419e-02,-5.067581772373441068e-02,-9.280418990140876234e-02
3.199991118454671479e+01,1.200000597514693226e+02,-1.478190142244889982e+00,5.686852823583884303e-03,2.899417901750819468e-02,-9.907209804626750105e-02
3.200001142591601422e+01,1.200000980998380697e+02,5.284685861898518411e+00,-6.733027911275757393e-02,-3.896960708447686633e-02,-1.096438082454704727e-01
3.200004565669087242e+01,1.200000262834460329e+02,-1.359296782989736774e-01,-5.169900968862287116e-02,-3.312898840439389148e-02,-4.574452576006574067e-02
3.200004988107347970e+01,1.200000917564691747e+02,5.290607960445100844e+00,-1.704722527272113305e-02,-9.747284558349538853e-04,6.899534159293992108e-02
3.199999408407012069e+01,1.199999673333240224e+02,-6.363851763285263807e+00,9.842147682320355473e-02,-3.600122752855992175e-02,-1.421555143743098160e-01
3.199993120871068442e+01,1.199999139526747314e+02,-6.480188029735900468e-01,2.043505079506315047e-02,-3.170109471478918528e-02,6.194157247578408777e-03
3.200000466152260259e+01,1.200000093464952045e+02,-1.188936646482461335e+01,-1.359599801573414812e-02,4.401926372884251704e-02,-7.520959385614697963e-03
3.200000149414738360e+01,1.199999909373808151e+02,2.546542297088892903e-01,-2.343864294839078256e-03,8.445562186325550336e-02,6.464746266479619308e-02
3.199992098454176670e+01,1.199999613666837206e+02,3.009584475777640655e+00,-4.390570359998958484e-03,-2.814849684636094862e-02,3.873909965598858890e-02
3.200005537691947666e+01,1.199998731278893445e+02,-2.068891459858213100e+00,8.782955117720180060e-02,-7.724796987185739150e-02,5.740026941498114349e-02
3.199998436585971362e+01,1.200000197659344536e+02,3.784484459044833216e+00,-8.294268919343036894e-02,2.628907825466755832e-02,1.474343633898992506e-02
3.199996378301895916e+01,1.199999978242736489e+02,-1.576669130714945855e+00,1.265652660316805289e-01,8.815132970847613936e-02,-3.240516602974150007e-02
