time (sec),ref_Roll (deg),ref_Pitch (deg),ref_Yaw (deg)
1.99980000000000000E+02,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00
1.99990000000000000E+02,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00
2.00000000000000000E+02,0.00000000000000000E+00,0.00000000000000000E+00,0.00000000000000000E+00
2.00010000000000000E+02,0.00000000000000000E+00,2.86478897565411000E-03,0.00000000000000000E+00
2.00020000000000000E+02,0.00000000000000000E+00,8.59436692696234000E-03,0.00000000000000000E+00
2.00030000000000000E+02,0.00000000000000000E+00,1.71887338539246000E-02,0.00000000000000000E+00
2.00040000000000000E+02,0.00000000000000000E+00,2.86478897565411000E-02,0.00000000000000000E+00
2.00050000000000000E+02,0.00000000000000000E+00,4.29718346348117000E-02,0.00000000000000000E+00
2.00060000000000000E+02,0.00000000000000000E+00,6.01605684887364000E-02,0.00000000000000000E+00
2.00070000000000000E+02,0.00000000000000000E+00,8.02140913183152000E-02,0.00000000000000000E+00
2.00080000000000000E+02,0.00000000000000000E+00,1.03132403123548000E-01,0.00000000000000000E+00
2.00090000000000000E+02,0.00000000000000000E+00,1.28915503904435000E-01,0.00000000000000000E+00
2.00100000000000000E+02,0.00000000000000000E+00,1.57563393660976000E-01,0.00000000000000000E+00
2.00110000000000000E+02,0.00000000000000000E+00,1.89076072393171000E-01,0.00000000000000000E+00
2.00120000000000000E+02,0.00000000000000000E+00,2.23453540101021000E-01,0.00000000000000000E+00
2.00130000000000000E+02,0.00000000000000000E+00,2.60695796784524000E-01,0.00000000000000000E+00
2.00140000000000000E+02,0.00000000000000000E+00,3.00802842443682000E-01,0.00000000000000000E+00
2.00150000000000000E+02,0.00000000000000000E+00,3.43774677078493000E-01,0.00000000000000000E+00
2.00160000000000000E+02,0.00000000000000000E+00,3.89611300688959000E-01,0.00000000000000000E+00
2.00170000000000000E+02,0.00000000000000000E+00,4.38312713275079000E-01,0.00000000000000000E+00
2.00180000000000000E+02,0.00000000000000000E+00,4.89878914836853000E-01,0.00000000000000000E+00
2.00190000000000000E+02,0.00000000000000000E+00,5.44309905374282000E-01,0.00000000000000000E+00
2.00200000000000000E+02,0.00000000000000000E+00,6.01605684887364000E-01,0.00000000000000000E+00
2.00210000000000000E+02,0.00000000000000000E+00,6.61766253376100000E-01,0.00000000000000000E+00
2.00220000000000000E+02,0.00000000000000000E+00,7.24791610840491000E-01,0.00000000000000000E+00
2.00230000000000000E+02,0.00000000000000000E+00,7.90681757280536000E-01,0.00000000000000000E+00
2.00240000000000000E+02,0.00000000000000000E+00,8.59436692696234000E-01,0.00000000000000000E+00
2.00250000000000000E+02,0.00000000000000000E+00,9.31056417087587000E-01,0.00000000000000000E+00
2.00260000000000000E+02,0.00000000000000000E+00,1.00554093045459000E+00,0.00000000000000000E+00
2.00270000000000000E+02,0.00000000000000000E+00,1.08289023279725000E+00,0.00000000000000000E+00
2.00280000000000000E+02,0.00000000000000000E+00,1.16310432411557000E+00,0.00000000000000000E+00
2.00290000000000000E+02,0.00000000000000000E+00,1.24618320440954000E+00,0.00000000000000000E+00
2.00300000000000000E+02,0.00000000000000000E+00,1.33212687367916000E+00,0.00000000000000000E+00
2.00310000000000000E+02,0.00000000000000000E+00,1.42093533192444000E+00,0.00000000000000000E+00
