time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
1.99980E+02,3.2000000000000000E+01,1.1999999999999900E+02,0.0000000000000000E+00
1.99990E+02,3.2000000000000000E+01,1.1999999999999900E+02,0.0000000000000000E+00
2.00000E+02,3.2000000000000000E+01,1.1999999999999900E+02,0.0000000000000000E+00
2.00010E+02,3.2000000000000000E+01,1.1999999999999900E+02,0.0000000000000000E+00
2.00020E+02,3.2000000000901800E+01,1.1999999999999900E+02,4.9999999979166600E-09
2.00030E+02,3.2000000002705400E+01,1.1999999999999900E+02,3.4999999885416600E-08
2.00040E+02,3.2000000005410900E+01,1.1999999999999900E+02,1.2499999853541600E-07
2.00050E+02,3.2000000009018200E+01,1.1999999999999900E+02,3.2499999020208300E-07
2.00060E+02,3.2000000013527300E+01,1.1999999999999900E+02,6.9999995504583400E-07
2.00070E+02,3.2000000018938200E+01,1.1999999999999900E+02,1.3299998392833400E-06
2.00080E+02,3.2000000025250900E+01,1.1999999999999900E+02,2.3099995191500300E-06
2.00090E+02,3.2000000032465500E+01,1.1999999999999900E+02,3.7499987415501600E-06
2.00100E+02,3.2000000040581800E+01,1.1999999999999900E+02,5.7749970329568400E-06
2.00110E+02,3.2000000049600000E+01,1.1999999999999900E+02,8.5249935668123200E-06
2.00120E+02,3.2000000059520000E+01,1.1999999999999900E+02,1.2154986978365900E-05
2.00130E+02,3.2000000070341700E+01,1.1999999999999900E+02,1.6834975114574900E-05
2.00140E+02,3.2000000082065300E+01,1.1999999999999900E+02,2.2749954705381400E-05
2.00150E+02,3.2000000094690600E+01,1.1999999999999900E+02,3.0099920941365500E-05
2.00160E+02,3.2000000108217700E+01,1.1999999999999900E+02,3.9099866941462700E-05
2.00170E+02,3.2000000122646500E+01,1.1999999999999900E+02,4.9979783093123200E-05
2.00180E+02,3.2000000137977000E+01,1.1999999999999900E+02,6.2984656245975600E-05
2.00190E+02,3.2000000154209100E+01,1.1999999999999900E+02,7.8374468738748500E-05
2.00200E+02,3.2000000171342900E+01,1.1999999999999900E+02,9.6424197237890300E-05
2.00210E+02,3.2000000189378400E+01,1.1999999999999900E+02,1.1742381136501700E-04
2.00220E+02,3.2000000208315300E+01,1.1999999999999900E+02,1.4167827208900800E-04
2.00230E+02,3.2000000228153800E+01,1.1999999999999900E+02,1.6950752985725100E-04
2.00240E+02,3.2000000248893700E+01,1.1999999999999900E+02,2.0124652243924300E-04
2.00250E+02,3.2000000270534900E+01,1.1999999999999900E+02,2.3724517245443100E-04
2.00260E+02,3.2000000293077500E+01,1.1999999999999900E+02,2.7786838455486000E-04
2.00270E+02,3.2000000316521200E+01,1.1999999999999900E+02,3.2349604223192000E-04
2.00280E+02,3.2000000340866000E+01,1.1999999999999900E+02,3.7452300421513100E-04
2.00290E+02,3.2000000366111800E+01,1.1999999999999900E+02,4.3135910042963400E-04
2.00300E+02,3.2000000392258400E+01,1.1999999999999900E+02,4.9442912747773000E-04
2.00310E+02,3.2000000419305700E+01,1.1999999999999900E+02,5.6417284360851100E-04
2.00320E+02,3.2000000447253500E+01,1.1999999999999900E+02,6.4104496313832200E-04
2.00330E+02,3.2000000476101700E+01,1.1999999999999900E+02,7.2551515028348600E-04
2.00340E+02,3.2000000505850100E+01,1.1999999999999900E+02,8.1806801236543500E-04
2.00350E+02,3.2000000536498400E+01,1.1999999999999900E+02,9.1920309234706200E-04
2.00360E+02,3.2000000568046500E+01,1.1999999999999900E+02,1.0294348606578500E-03
2.00370E+02,3.2000000600494000E+01,1.1999999999999900E+02,1.1492927062640300E-03
2.00380E+02,3.2000000633840800E+01,1.1999999999999900E+02,1.2793209269386100E-03
2.00390E+02,3.2000000668086400E+01,1.1999999999999900E+02,1.4200787186851500E-03
2.00400E+02,3.2000000703230700E+01,1.1999999999999900E+02,1.5721401642673300E-03
2.00410E+02,3.2000000739273200E+01,1.1999999999999900E+02,1.7360942207957100E-03
2.00420E+02,3.2000000776213600E+01,1.1999999999999900E+02,1.9125447063212600E-03
2.00430E+02,3.2000000814051500E+01,1.1999999999999900E+02,2.1021102853841700E-03
2.00440E+02,3.2000000852786400E+01,1.1999999999999900E+02,2.3054244534653800E-03
2.00450E+02,3.2000000892417900E+01,1.1999999999999900E+02,2.5231355202865100E-03
2.00460E+02,3.2000000932945500E+01,1.1999999999999900E+02,2.7559065919030400E-03
2.00470E+02,3.2000000974368600E+01,1.1999999999999900E+02,3.0044155515341800E-03
2.00480E+02,3.2000001016686800E+01,1.1999999999999900E+02,3.2693550390714700E-03
2.00490E+02,3.2000001059899400E+01,1.1999999999999900E+02,3.5514324292071100E-03
2.00500E+02,3.2000001104005700E+01,1.1999999999999900E+02,3.8513698081216200E-03
2.00510E+02,3.2000001149005100E+01,1.1999999999999900E+02,4.1699039486693000E-03
2.00520E+02,3.2000001194896900E+01,1.1999999999999900E+02,4.5077862839984700E-03
2.00530E+02,3.2000001241680300E+01,1.1999999999999900E+02,4.8657828795427200E-03
2.00540E+02,3.2000001289354500E+01,1.1999999999999900E+02,5.2446744033175700E-03
2.00550E+02,3.2000001337918700E+01,1.1999999999999900E+02,5.6452560944561600E-03
2.00560E+02,3.2000001387371800E+01,1.1999999999999900E+02,6.0683377299162500E-03
2.00570E+02,3.2000001437713100E+01,1.1999999999999900E+02,6.5147435892895600E-03
2.00580E+02,3.2000001488941400E+01,1.1999999999999900E+02,6.9853124176432100E-03
2.00590E+02,3.2000001541055700E+01,1.1999999999999900E+02,7.4808973863221500E-03
2.00600E+02,3.2000001594054800E+01,1.1999999999999900E+02,8.0023660516398200E-03
2.00610E+02,3.2000001647937700E+01,1.1999999999999900E+02,8.5506003113835600E-03
2.00620E+02,3.2000001702703100E+01,1.1999999999999900E+02,9.1264778315801700E-03
2.00630E+02,3.2000001758349700E+01,1.1999999999999900E+02,9.7308512612106300E-03
2.00640E+02,3.2000001814876200E+01,1.1999999999999900E+02,1.0364549527613100E-02
2.00650E+02,3.2000001872281400E+01,1.1999999999999900E+02,1.1028379066933500E-02
2.00660E+02,3.2000001930564000E+01,1.1999999999999900E+02,1.1723124990598500E-02
2.00670E+02,3.2000001989722500E+01,1.1999999999999900E+02,1.2449552189186600E-02
2.00680E+02,3.2000002049755700E+01,1.1999999999999900E+02,1.3208406375379700E-02
2.00690E+02,3.2000002110662100E+01,1.1999999999999900E+02,1.4000415067926600E-02
2.00700E+02,3.2000002172440400E+01,1.1999999999999900E+02,1.4826288518725200E-02
2.00710E+02,3.2000002235089100E+01,1.1999999999999900E+02,1.5686720585263200E-02
