time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.99980E+02,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
1.99990E+02,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
2.00000E+02,0.0000000000000000E+00,0.0000000000000000E+00,0.0000000000000000E+00
2.00010E+02,9.9999999875000000E-03,0.0000000000000000E+00,-4.9999999979166600E-07
2.00020E+02,1.9999999775000000E-02,0.0000000000000000E+00,-2.9999999887500000E-06
2.00030E+02,2.9999998650000000E-02,0.0000000000000000E+00,-8.9999998650000000E-06
2.00040E+02,3.9999995000000100E-02,0.0000000000000000E+00,-1.9999999166666600E-05
2.00050E+02,4.9999985937500600E-02,0.0000000000000000E+00,-3.7499996484375100E-05
2.00060E+02,5.9999966925003000E-02,0.0000000000000000E+00,-6.2999988423750600E-05
2.00070E+02,6.9999931400011200E-02,0.0000000000000000E+00,-9.7999967986669800E-05
2.00080E+02,7.9999870400034900E-02,0.0000000000000000E+00,-1.4399992224001200E-04
2.00090E+02,8.9999772187596100E-02,0.0000000000000000E+00,-2.0249982914066800E-04
2.00100E+02,9.9999621875238200E-02,0.0000000000000000E+00,-2.7499965338554700E-04
2.00110E+02,1.0999940105054300E-01,0.0000000000000000E+00,-3.6299934115535800E-04
2.00120E+02,1.1999908740115600E-01,0.0000000000000000E+00,-4.6799881362090200E-04
2.00130E+02,1.2999865433982100E-01,0.0000000000000000E+00,-5.9149795908065400E-04
2.00140E+02,1.3999807062943100E-01,0.0000000000000000E+00,-7.3499662359840200E-04
2.00150E+02,1.4999730000809900E-01,0.0000000000000000E+00,-8.9999460000971900E-04
2.00160E+02,1.5999630081425400E-01,0.0000000000000000E+00,-1.0879916151660500E-03
2.00170E+02,1.6999502561175900E-01,0.0000000000000000E+00,-1.3004873152852400E-03
2.00180E+02,1.7999342081507900E-01,0.0000000000000000E+00,-1.5389812492772800E-03
2.00190E+02,1.8999142631448100E-01,0.0000000000000000E+00,-1.8049728499141800E-03
2.00200E+02,1.9998897510129100E-01,0.0000000000000000E+00,-2.0999614127127100E-03
2.00210E+02,2.0998599289321600E-01,0.0000000000000000E+00,-2.4254460723990800E-03
2.00220E+02,2.1998239775973100E-01,0.0000000000000000E+00,-2.7829257768242800E-03
