accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
7.747327078344161053e-03,-1.693590844486036031e-03,-9.811262592116452907e+00
-7.061066855491171350e-03,3.448357772730266911e-03,-9.806303500141037688e+00
-1.792573611812805709e-04,-9.223927025339705198e-04,-9.799795946420999826e+00
2.346736147031972843e-03,9.594023740510644691e-04,-9.803949688392433970e+00
5.170005197117450921e-03,-2.396899643986088926e-03,-9.800914257300359367e+00
-4.966298905628717918e-03,6.995438246228028074e-03,-9.801981911257225732e+00
-2.532747047914155406e-03,3.460233801623604794e-03,-9.802020328116784142e+00
2.972040626705142220e-03,-2.322527404858550342e-03,-9.808907499952839615e+00
3.351954082731543275e-03,2.788041940857468974e-03,-9.800980953782065797e+00
-3.326308944665666914e-03,2.067118598082079255e-03,-9.805794003491532962e+00
-2.692083381462018286e-03,3.727451080889897760e-03,-9.799016105517528885e+00
8.434282773580209849e-03,3.170124483093376359e-03,-9.808319154692703989e+00
-2.112196859438249946e-03,2.984422802226133209e-03,-9.801577671788905377e+00
-4.908039570974866671e-03,6.836626482604506866e-03,-9.801330000921174346e+00
-6.414529222934551439e-03,2.358768140670427366e-03,-9.793037898623811799e+00
-2.474637185192103423e-03,2.322373808302294861e-03,-9.798514731076958029e+00
1.047331405027000523e-03,-8.765476912158849665e-03,-9.796276456704045899e+00
-7.341363554585642222e-03,-1.310779405080583207e-03,-9.787963094430676136e+00
1.137801684900108939e-02,-2.553022834606208640e-03,-9.797560670373538727e+00
-2.675330535749053263e-03,1.514633447361521347e-03,-9.796912469429043924e+00
4.398268822640006778e-03,7.562972097174377323e-03,-9.808241257202057639e+00
-3.094565903679736153e-03,2.274806888129470017e-03,-9.793939852547293157e+00
-2.063633990574733398e-03,3.108571980940825607e-03,-9.800875733695036729e+00
-4.856110036347449643e-03,1.488655323072898915e-03,-9.810120436242156572e+00
5.619246195033790817e-03,-2.210724091959431618e-04,-9.796064669661298296e+00
-1.064519791752520719e-02,1.299793832811590479e-02,-9.799797035688406766e+00
-7.552001983742467504e-04,4.228373517566917823e-03,-9.803243317798438383e+00
-3.021656373764550294e-03,1.182394831422423336e-03,-9.801387245799466186e+00
-4.246016930098846058e-03,-9.362850852677444963e-03,-9.797704995731997712e+00
3.442499108720465262e-03,2.216504476304840404e-03,-9.810548635433624654e+00
8.397277482259637906e-04,3.283899742895410399e-03,-9.793569081553556543e+00
-7.968119068388304638e-03,-1.110936575811251846e-02,-9.798830060788818130e+00
1.642105862165517838e-04,2.331049709313461667e-03,-9.797077260473706417e+00
-6.785848215857353399e-03,1.716083802283723588e-03,-9.805789215386642610e+00
2.056190024826721249e-03,4.578813714022205231e-03,-9.801455223029760688e+00
4.400887706867640838e-03,-2.605806505574003677e-03,-9.806885992011252995e+00
9.146570644083614268e-03,-1.008388990642926537e-02,-9.803748811956841891e+00
-4.826180880134573088e-03,-3.649529470183695244e-03,-9.802195896296664657e+00
4.457864839341475413e-03,-5.119007709519857001e-03,-9.807210885290144731e+00
6.659442374081158203e-03,3.227653029292606459e-04,-9.803076434397397065e+00
2.193705279998372799e-03,-6.248817814635712446e-04,-9.807105689962599016e+00
2.843493503154373957e-04,1.747358404598395277e-04,-9.803569182817268413e+00
2.091210801282653107e-03,3.079593173222727655e-03,-9.793698727143613780e+00
4.516675342953157569e-03,-1.096035667120442286e-02,-9.806531796760138420e+00
9.150746065595240578e-03,-4.050621545006000634e-04,-9.795472475448086414e+00
-6.091668611311123853e-03,5.239032158439827468e-03,-9.796248457477711113e+00
-2.058531028797509245e-03,-2.396773343173526100e-03,-9.801798365825481696e+00
4.215736382162411401e-03,-6.735762617039798769e-03,-9.799944914204269608e+00
-6.019479650305900814e-04,9.866004110891963413e-04,-9.798065893804089654e+00
-2.217410675718500639e-03,-2.891100928481479815e-03,-9.803236089798367914e+00
-1.506266083920015063e-03,4.931543712578844926e-03,-9.800622398817536052e+00
6.292406071505358446e-03,3.083648592738292508e-03,-9.804842876968464793e+00
2.177036804363525688e-03,7.734669610562252239e-03,-9.801602718153878513e+00
-5.660147456687233958e-03,-4.970597826842089798e-03,-9.807123672920852187e+00
-4.513525099906173614e-03,-2.544002957742330824e-03,-9.798455132898951092e+00
4.559508788393095910e-03,3.191148696882791045e-03,-9.808368831740549965e+00
-6.468596611428316032e-03,4.739988985894809902e-03,-9.806793881562096971e+00
-6.960509137775588821e-03,9.391515323181580041e-03,-9.806535152235644759e+00
-2.894281040804417421e-03,3.553131846757388770e-03,-9.801907453405656057e+00
-2.258580898951534355e-03,-5.646453751271296104e-03,-9.810986089588437764e+00
3.904804477357244012e-03,1.131078121293035066e-03,-9.796288580072829433e+00
7.422542539368126406e-03,3.428306960030301238e-03,-9.794906626265012406e+00
4.513560401824960361e-04,2.843279343035143465e-03,-9.798767141142105785e+00
3.638412182858263410e-03,1.045499420074861262e-03,-9.800022057114919249e+00
1.111520553287301434e-02,-2.456545122967807894e-03,-9.796699248784983993e+00
1.495895495090459422e-03,-5.462678491766277331e-03,-9.812002384501441909e+00
2.527329634711745002e-03,7.562989120565560136e-03,-9.794572957736745522e+00
9.631149769546370294e-04,2.048250085496328924e-03,-9.801468458277684093e+00
-8.107989057355948674e-04,4.694789808827490654e-03,-9.798403689464874944e+00
-6.121276285175067736e-03,9.092835236086883183e-03,-9.798493593397479273e+00
-2.325061144885901248e-03,-1.822591772092709570e-03,-9.803822041417143751e+00
1.016886640247771992e-02,4.907000060785963839e-03,-9.790208099954853083e+00
-2.819053061575051665e-03,-2.571557022364982185e-03,-9.798884914972090243e+00
-7.525896506958178363e-03,-3.671092245913420635e-03,-9.802667558176928253e+00
-5.872000142221826379e-04,-3.749972665789228724e-03,-9.798143189425074340e+00
4.648552719824779016e-03,-8.720308718268563949e-03,-9.805196797931943209e+00
7.280800242131429956e-03,-7.608613538396931386e-03,-9.800388618856754164e+00
2.156359959429944833e-03,6.463987751131577107e-03,-9.809018688956465226e+00
5.332494781050978357e-03,3.923887489952927222e-03,-9.804015396008058048e+00
4.190905016490689000e-03,3.331102735802895891e-03,-9.801244541914483577e+00
-2.187604572136129383e-03,6.987487099192279949e-03,-9.800536469776101711e+00
8.616237160987488212e-04,-4.297676969293688122e-03,-9.800291695775980472e+00
-1.287009064754802415e-03,1.454257755323972020e-03,-9.806596095235658339e+00
1.725946569028552480e-03,4.142762488563787870e-03,-9.804301434090849199e+00
4.896679956221578617e-03,-3.462023984110702054e-03,-9.804577076659066748e+00
3.347609149299632207e-03,1.048178890764553221e-02,-9.795647335492201790e+00
-5.016545452149044626e-03,1.646179019220677569e-03,-9.800793426230649530e+00
-3.962046698435648176e-03,3.837595901512690956e-03,-9.803541190443201714e+00
5.957627293386729035e-03,3.638512334465426922e-04,-9.804993837983230875e+00
-2.113661968408430455e-03,-6.239049274777880988e-03,-9.802665155645335915e+00
1.374245694824398692e-02,-1.346505814473887216e-03,-9.802998806946536803e+00
6.326658301669947464e-03,-2.881962343707059407e-03,-9.805565260930080740e+00
-1.143460698719562358e-04,-1.713255188538102478e-02,-9.797936084686549307e+00
-4.681308387409215295e-04,9.327642228866447199e-03,-9.805671633058393510e+00
-1.920243726678967080e-04,7.488076081249169479e-04,-9.798488631730249310e+00
-5.998538239615687842e-03,6.915399376013289974e-03,-9.802632749041139348e+00
-9.742713833300217091e-03,-6.551009628308753982e-03,-9.795751537975254664e+00
4.025664964987821400e-03,3.501243929382218340e-04,-9.799528745129858720e+00
6.379870955574344638e-03,1.299584944643698316e-02,-9.805438614758983817e+00
1.209214616784983452e-03,1.921287354552381850e-03,-9.798589283432683317e+00
2.718188769100590794e-03,-6.543651275801976898e-03,-9.804453982818303714e+00
-3.821215172234528924e-03,8.907604614986920069e-04,-9.804134612460090992e+00
1.580639637381125312e-03,7.407251286276670885e-03,-9.804140923408194652e+00
6.665118176592234149e-03,-5.637063899894541145e-03,-9.795832479948547444e+00
2.633192582374459332e-03,8.265484153893131174e-05,-9.796688356813158194e+00
5.099003703339657738e-03,-1.106896783352572270e-03,-9.809944045142298563e+00
