gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
4.073335196560267946e+01,-7.405627483893516683e+01,-5.463134003918820092e+00,-1.346076116463503641e-02,2.389795341098388190e-02,-2.644437000376767197e-02
4.073329477325599157e+01,-7.405622970282823303e+01,2.268173206317762869e+00,-9.049887389325782933e-03,-6.474122415819182595e-03,-7.849642943752016197e-03
4.073330686968586178e+01,-7.405625381769900173e+01,1.678806416356042064e+01,-2.352730956510334925e-02,4.980199588409403577e-02,4.063359248164788440e-02
4.073328273969632818e+01,-7.405627065270991238e+01,-2.367597518117694477e+00,-5.308995540802680102e-02,9.374730163094969343e-03,7.993271388662698956e-03
4.073329721129724845e+01,-7.405609633864527552e+01,-1.173421671348028106e+01,3.617427628193480710e-02,-1.034802211391517429e-02,2.109097000763279772e-02
4.073326614278130364e+01,-7.405609361777334243e+01,4.510740679503170369e+00,-4.810307717176301456e-02,-4.426861734218758525e-03,1.196439864949019188e-02
4.073335760849485609e+01,-7.405624403853923354e+01,-1.163384387152913568e+01,4.563065747542185274e-02,-9.562102867048916446e-03,-4.425135011611974756e-02
4.073329022749140904e+01,-7.405617214999762155e+01,-2.549544709088439109e+00,1.020725557597721919e-02,3.839021000813510470e-02,-2.040167210014000310e-02
4.073337154584591957e+01,-7.405629353107472923e+01,-5.991373535106894188e-01,-2.669714520744735208e-03,2.187313555957648599e-03,4.223292217655592873e-02
4.073334448578420108e+01,-7.405627219170546027e+01,8.842125401605981372e-01,-5.687753460420175329e-03,4.033494667794634142e-02,-3.424834808740369330e-02
4.073336847985321896e+01,-7.405622277630999406e+01,-8.254048060858874436e+00,-5.826116685836818521e-02,2.422756500439569860e-02,-3.967833600286627301e-03
4.073336808324887670e+01,-7.405631159993473034e+01,5.592648284901478029e+00,-1.294652558556626809e-01,-3.491377183762564562e-02,-1.563990260563276335e-02
4.073333515195194110e+01,-7.405625705534791337e+01,4.036966957713324256e+00,1.775672214280438546e-02,-1.654576503980214816e-02,-4.108944014694249081e-03
4.073332850775985747e+01,-7.405635057698536627e+01,5.779321522028525449e-01,-4.135649395809572887e-02,-3.540468308200916264e-02,4.722556853719470787e-02
4.073329231995023747e+01,-7.405629333398078984e+01,1.207289150640700015e+01,-3.871874255843258533e-02,6.424981817525347860e-02,1.529528222814867215e-02
4.073328328336075543e+01,-7.405611010394575544e+01,5.481235927492376092e+00,-1.779697913279339964e-03,9.324779482360778804e-02,1.757541365282137141e-02
4.073336131950470218e+01,-7.405621792474592269e+01,-3.439601625755999148e+00,-3.378526424428281334e-03,-7.950241205587191273e-02,1.302982904104577760e-02
4.073333094856887726e+01,-7.405635794271569239e+01,-1.442892926675632403e-01,-6.991998374180197207e-02,-5.195346422774737433e-02,1.468170011860686630e-02
4.073321372272234697e+01,-7.405623157128816558e+01,-6.877245071501148388e+00,1.697678851679624776e-02,-5.918567311521915481e-03,-9.173591500641370411e-03
4.073336194490173057e+01,-7.405610303847684861e+01,4.761796862804448693e+00,2.442963230535430408e-02,9.455076067585935218e-02,-4.174619052859190882e-02
4.073334104869187655e+01,-7.405626275235059097e+01,7.235518274376157244e+00,-6.683063576674873330e-02,-3.139395124271032039e-02,-8.927988396761060708e-02
4.073333304883751538e+01,-7.405635994175567305e+01,1.481675635891618992e+00,-9.122038812000894323e-03,9.302373303189825915e-02,-1.554981916618791531e-02
4.073328308065677561e+01,-7.405636856898402698e+01,-4.065692749249727456e+00,1.934556081895626514e-02,-7.277221307593106925e-02,8.464484536517448074e-03
4.073329372003145465e+01,-7.405635688374533743e+01,4.301532961263396793e+00,-5.576897959490853540e-02,7.479127613380713580e-02,-5.188376186684720559e-02
4.073330894753813425e+01,-7.405625667820825697e+01,-1.525042103840660346e+01,-3.586476804264234104e-03,-7.892454658566763759e-02,1.036647736449660684e-01
4.073334733175857991e+01,-7.405618376533656999e+01,-5.929152794201264509e-01,-3.686434592108393110e-02,-4.287300414399949217e-02,2.685222470302645742e-02
4.073330524469949410e+01,-7.405623722035139167e+01,2.105057401069743861e+01,8.976278688068686958e-04,2.769442761608782722e-02,-5.889546382500770311e-02
4.073335297629806462e+01,-7.405626195893759700e+01,-2.853273109434474986e+00,-5.059027121663971921e-02,-1.669060012957669648e-03,-4.414824696904515178e-02
4.073335039322304141e+01,-7.405639306669081634e+01,6.840427726161049549e+00,-6.666923865227228352e-03,-2.345254447992115021e-02,2.786250677641213466e-02
4.073339961846878765e+01,-7.405631132651417659e+01,-3.747574543720483931e+00,-7.486204843330236669e-02,7.341304568033889992e-04,4.064124282173819241e-02
