gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-4.522667881379581478e-03,4.476046861989570191e-02,-5.667490657928176551e-02
-8.615093782593689908e-02,-1.421086109067176695e-02,-2.394562015608839647e-02
-4.377744777858194776e-03,4.893788846675163617e-02,-4.334911518466013497e-02
-1.955470956466236893e-02,1.968464088161268281e-03,-7.606529763228522811e-02
6.853103235550478400e-02,5.071988061022020267e-02,-3.334090190858022586e-03
3.425122866282027511e-03,1.663336691087210009e-02,-5.110184362935804060e-03
-4.692749592263388558e-02,-3.086361988802396178e-02,-2.506483225159456679e-02
-2.465326605818067562e-02,-7.006853025219998352e-03,9.710532556036436530e-03
-2.837099683032118930e-02,4.901132802496000612e-02,3.681204403282340668e-03
1.151278689032642251e-02,8.753024152450535143e-04,1.034967884699606287e-02
3.516509063141493724e-02,-3.756673849555639683e-03,9.635254895984106394e-02
4.873638534280968354e-02,-2.579648340300176937e-02,-5.264963596589279649e-02
8.597281852807730704e-03,-4.750608444188370028e-02,-7.205766448758274545e-02
-9.176214339379124604e-05,3.624726263316015162e-02,6.140105289340958179e-03
4.154811951892587330e-04,-2.280555679779870670e-02,1.761791319733258324e-02
3.589894709584001697e-02,1.488202086662100687e-02,-3.120601212709630048e-03
7.431019755827107665e-02,3.268977825914654717e-02,-3.606666147013327939e-02
-1.739917785370777206e-03,2.964760902024040148e-02,2.881849206668315663e-02
3.153885843351220825e-02,-2.738942794112414481e-02,-4.712031250102889646e-02
1.839185769178662208e-02,5.238726905971680115e-02,1.950359857778988237e-02
3.714919834263057802e-02,1.406095705750660951e-02,-5.665065754993025074e-03
5.981681156968308988e-03,4.436197506386296840e-02,-1.790929987918723348e-02
-5.709514921212424654e-02,3.291639043743430776e-02,1.136658890158697907e-02
9.924441320287490098e-03,-5.654335968422938286e-02,-1.078360206934380651e-02
1.290340384272109335e-02,-6.453460848463758726e-02,1.563703739543198870e-02
-6.451963224814914744e-02,-7.804244579173333536e-03,3.896632380423961650e-02
-3.984275828292286464e-02,-4.293300337122610277e-02,-5.450236579834426276e-02
4.703760751693217279e-02,-1.933151542793151928e-03,3.799973318425245439e-02
6.034038537946456726e-02,-4.105910965976540539e-02,-4.156323671042494103e-03
-3.405225548313019213e-02,1.456541305926333484e-02,-3.668406692819733278e-02
6.178200449963452967e-02,7.662218873368413508e-02,-6.640328033340393843e-02
