mag_x (uT),mag_y (uT),mag_z (uT)
1.655580115179775191e+01,1.257605882642601891e+01,4.682044799652735634e+01
1.653220425636574475e+01,1.256161816518863894e+01,4.683159258943893377e+01
1.653461760148267246e+01,1.257955235190924093e+01,4.682402101942943773e+01
1.653778971353742833e+01,1.256423660918399321e+01,4.680987816729388840e+01
1.654583405959913733e+01,1.257607304401656201e+01,4.682822303312418910e+01
1.652601538560613648e+01,1.258526051231247322e+01,4.683109509965927941e+01
1.654489621807076105e+01,1.257668662817167160e+01,4.680078237688022114e+01
1.654244069930944860e+01,1.256883447889936889e+01,4.683046021090730449e+01
1.654167953692534354e+01,1.255842258679576418e+01,4.680833450591292433e+01
1.653870139242378912e+01,1.256377446747970517e+01,4.682363377637770441e+01
1.653837966387595415e+01,1.255533409824480273e+01,4.682905929482984675e+01
1.653389348467792175e+01,1.256516857498525042e+01,4.680156835289549377e+01
1.654489307326600311e+01,1.256160230524449872e+01,4.680341529802486633e+01
1.651691370095502265e+01,1.257177674503081732e+01,4.682886312984549448e+01
1.654272143154492269e+01,1.257085180988057260e+01,4.681255282896984937e+01
1.653229865585108271e+01,1.257241485131164183e+01,4.682524604007321756e+01
1.654480366802879843e+01,1.256844660454281559e+01,4.682489751091566177e+01
1.654166378844825402e+01,1.256926840554143077e+01,4.681402157832774691e+01
1.655512755201863584e+01,1.257083925941384628e+01,4.682464303855756782e+01
1.654497002197116018e+01,1.257283741145161216e+01,4.682601280049084380e+01
1.653352686306212505e+01,1.257311133717748142e+01,4.680873291534589953e+01
1.652896031446756453e+01,1.256719794880116936e+01,4.682531297881718046e+01
1.652451153603817247e+01,1.254609169166351457e+01,4.681593476100485418e+01
1.653583127243961570e+01,1.256711606665783876e+01,4.683964720148863137e+01
1.651503614755615956e+01,1.256155890152000687e+01,4.682698809674418783e+01
1.652783111301407715e+01,1.258872791309896400e+01,4.683788213463034822e+01
1.654379406715070289e+01,1.258334160131115276e+01,4.681146038338651749e+01
1.652906438253818422e+01,1.257968168232989292e+01,4.682967645979742599e+01
1.656674229212189076e+01,1.257343982096623591e+01,4.681931917320289926e+01
1.653858507316541804e+01,1.256081351412011315e+01,4.682869590374480140e+01
1.654531924967143297e+01,1.256516257692036476e+01,4.683519619864546257e+01
1.655041079309186003e+01,1.256419286255695056e+01,4.682874931893839943e+01
1.652258515706058617e+01,1.257689424940057066e+01,4.681442128171598682e+01
1.654459002263858736e+01,1.255941533554017830e+01,4.682998623786280490e+01
1.654240313756565328e+01,1.258719765083514197e+01,4.680147444368371623e+01
1.653435353637473071e+01,1.255920574839066539e+01,4.682073723984988334e+01
1.652698778599942031e+01,1.257363940532865065e+01,4.681056979196755918e+01
1.654907957943445496e+01,1.258424743747462493e+01,4.681292726155360384e+01
1.653435777786900118e+01,1.257037033244671065e+01,4.682236309766016547e+01
1.653933124537824995e+01,1.256128176019854692e+01,4.681558871948405454e+01
