gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.150811296259303873e+01,1.204019652085780336e+02,-3.033919977434984983e+00,1.692557898514652701e-02,-3.874027055543977083e-02,-1.661668595044408754e-03
3.150814817616954855e+01,1.204018588884596852e+02,3.152763891781950267e+00,3.806334070950814774e-02,2.041828982396334813e-02,-4.035370259785515945e-03
3.150826803012054711e+01,1.204019659485104370e+02,6.173808627098394730e+00,-4.499984652946664720e-02,4.454545866945180954e-02,-4.168973900330287530e-02
3.150826568836856012e+01,1.204019783437391169e+02,-8.241965356350769767e+00,-5.048739350556483152e-02,2.341023401140000793e-02,5.400549017496874410e-02
3.150825278985646349e+01,1.204018679185538758e+02,-7.235235742023125027e+00,2.817804313616036407e-02,4.481653863964891321e-02,9.045113566952803219e-02
3.150822651321523793e+01,1.204020140384146771e+02,1.226192981212825117e+01,3.069166735567066540e-02,8.572658338719024718e-02,2.812714329239377614e-02
3.150824012081144687e+01,1.204020826052638142e+02,-2.330624016166269907e+00,4.449329880926053415e-02,4.876080021065078846e-02,7.444196364653334584e-03
3.150818022825210818e+01,1.204019756158025700e+02,4.092220183590563387e+00,6.475709253178683900e-02,-3.401803038761064268e-02,9.665987802766251580e-02
3.150818985150002760e+01,1.204020256328264509e+02,2.394234881699139006e+00,4.625853885807255927e-02,-8.111627225808182295e-02,-9.728192986621320149e-02
3.150823224343863771e+01,1.204019590744459691e+02,6.444149207366330678e+00,-3.555068973039137575e-02,-8.397428493972192154e-02,3.544691319209141572e-02
3.150819722132123246e+01,1.204019572288285076e+02,1.391676104503283362e+01,6.101902502297245484e-02,-9.649590377017015774e-02,6.738281050285857554e-02
3.150820489978358552e+01,1.204019644280368766e+02,-9.002976374764181111e-01,-5.799526238255591631e-02,-4.308477145302468635e-03,-6.777202205062128615e-02
3.150822888368928432e+01,1.204020079956287930e+02,-1.075185964587904230e+01,3.377750911627761671e-02,7.633199719694747087e-02,-5.712254145873774114e-02
3.150813220980689877e+01,1.204019724804196017e+02,3.642186914856674562e+00,-5.059461324633082735e-02,5.547252182381398611e-02,-1.124732435708801631e-01
3.150819173665746575e+01,1.204020554023579592e+02,-1.967966765434992826e+00,2.968724419550508586e-02,-5.055809182847806338e-02,-4.382426848270098291e-02
3.150822416948319571e+01,1.204019239691918415e+02,-4.917686400376581446e+00,1.993449802482068212e-02,7.929730344112781090e-03,5.806651172008431283e-02
3.150807128239324939e+01,1.204019867925697866e+02,4.787328187251159939e+00,-1.386854613193289846e-03,-1.184627468822416728e-02,-4.806392720490101217e-03
3.150820720014558418e+01,1.204020515594263543e+02,6.832100930691461294e+00,5.752358383578763971e-04,-1.166334194115813405e-01,-4.695112989545759119e-02
3.150806223871894929e+01,1.204019556815796506e+02,-1.028712451080971668e+01,9.665639012403533237e-02,8.191620234731265826e-03,4.573165707484588838e-02
3.150826306356481155e+01,1.204020443442522748e+02,5.143378173416168764e+00,-4.944637164825745057e-02,-3.379996437753453320e-02,-5.300531176818012308e-02
3.150819076814506658e+01,1.204019019987210442e+02,-2.129018890702988109e+00,7.831015393119096502e-02,1.206044985900914593e-02,-2.788408754239369430e-02
3.150824287823100534e+01,1.204019971014456729e+02,-2.774039799098885872e+00,-1.596913245850981045e-01,-9.712059072952483607e-02,-2.411945699573668847e-02
3.150818393098516523e+01,1.204018856583978163e+02,-1.395292623530902176e+01,-4.364112935034848012e-02,4.092313279444994428e-02,-2.443426308440621586e-02
3.150822760159979907e+01,1.204019493329144979e+02,3.757469877917898771e+00,-1.108315495893187098e-02,4.024796256704235575e-02,8.621421587450051049e-02
3.150809161236885458e+01,1.204019764002149344e+02,3.015177127979903116e+00,5.116443862162222724e-03,1.982985947741194160e-02,8.752438639349588434e-02
3.150817804823217827e+01,1.204020090341890779e+02,4.032401707774747379e+00,3.086848472186294948e-02,-1.032458491680243173e-01,-2.517502404659184220e-03
3.150811361083304618e+01,1.204019652325965666e+02,-1.413489512205404752e+00,2.252641461530664052e-02,8.395671622768217934e-02,-4.714726537900351677e-02
3.150823220412661740e+01,1.204020233900298251e+02,3.905254340995818030e+00,-4.257547214306881683e-02,-3.671522316893895133e-02,1.403735785375026524e-02
3.150822625077947237e+01,1.204020465206089057e+02,5.119589698401703970e+00,9.393911148441036474e-02,2.578118596998676612e-02,-4.458601408137788380e-02
3.150812910422033752e+01,1.204020246740215185e+02,-5.049299027305345078e-01,-7.445221131566103628e-03,-1.122510628874406058e-01,-3.390237025994281839e-02
3.150817555276292126e+01,1.204019303817325834e+02,-1.347533052057978020e+00,-2.983617495384364646e-03,3.398005180820169724e-02,6.306720573539711938e-02
3.150812344602961446e+01,1.204019529176976278e+02,-8.564216814681774537e+00,3.048807802124562510e-02,3.192212817876784181e-02,4.888757987602267412e-04
3.150810502853452277e+01,1.204020681754705890e+02,8.777114679372048922e-01,2.872019738475630433e-03,8.761801274948009810e-02,2.099449240640266588e-03
3.150809596142345370e+01,1.204020802129180083e+02,-1.267666439073322593e+01,-3.272737554749884786e-02,3.681791613775946964e-02,4.908464125036031411e-02
3.150817515311450734e+01,1.204020282904053261e+02,1.015927179515102452e+01,-1.540116531532710609e-02,2.690333853436183750e-03,-4.150793794297834294e-02
3.150820645124163377e+01,1.204019932482766251e+02,7.785192044466855421e+00,-1.425730374989002402e-01,1.806560387885223704e-02,-8.637860508266825832e-02
3.150824900950486906e+01,1.204019275570150000e+02,9.328062800959109335e-01,1.208034782114191137e-02,5.427225495268218902e-02,3.742414559037481742e-02
3.150812130381919829e+01,1.204019819861299538e+02,-6.934110747261675201e+00,-8.923352955482882765e-02,-5.017223224370474799e-03,-2.065674675675240393e-02
3.150808234817938924e+01,1.204019771759191286e+02,-4.366409689138547101e+00,-4.385998248985334413e-02,-4.891180974774299306e-02,-1.012233852869278555e-02
3.150827995387625435e+01,1.204019764434849833e+02,-1.040278026611151496e+01,-2.016094546532645401e-02,-1.835873247591792920e-02,5.921178129234085097e-02
3.150812772688177787e+01,1.204019709380079917e+02,3.078374462697778258e-01,-5.419138734401906382e-02,5.238120492914272175e-02,1.061073127311309289e-01
